Pair: a-b,a_xor_b,a_union_b,a_to_b,b_to_a
2->3,0,0,0,0
3->2,0,0,0,0
2->4,0,9,1,8
4->2,0,9,8,1
2->6,0,0,0,0
6->2,0,0,0,0
2->7,4693,7258,5283,6668
7->2,4693,7258,6668,5283
2->8,0,0,0,0
8->2,0,0,0,0
2->9,0,0,0,0
9->2,0,0,0,0
2->11,0,16,14,2
11->2,0,16,2,14
2->12,0,0,0,0
12->2,0,0,0,0
2->13,0,0,0,0
13->2,0,0,0,0
2->14,1871,3516,3282,2105
14->2,1871,3516,2105,3282
2->19,0,0,0,0
19->2,0,0,0,0
2->21,0,2,2,0
21->2,0,2,0,2
2->22,0,0,0,0
22->2,0,0,0,0
2->23,0,0,0,0
23->2,0,0,0,0
2->24,0,6,6,0
24->2,0,6,0,6
2->25,0,0,0,0
25->2,0,0,0,0
2->26,3775,5204,4082,4897
26->2,3775,5204,4897,4082
2->29,0,0,0,0
29->2,0,0,0,0
2->33,0,0,0,0
33->2,0,0,0,0
2->36,0,0,0,0
36->2,0,0,0,0
2->39,0,0,0,0
39->2,0,0,0,0
3->4,0,0,0,0
4->3,0,0,0,0
3->6,190097,394424,195520,389001
6->3,190097,394424,389001,195520
3->6,190097,394424,195520,389001
6->3,190097,394424,389001,195520
3->7,0,0,0,0
7->3,0,0,0,0
3->8,0,0,0,0
8->3,0,0,0,0
3->9,0,0,0,0
9->3,0,0,0,0
3->11,0,0,0,0
11->3,0,0,0,0
3->12,428,1007,926,509
12->3,428,1007,509,926
3->13,0,0,0,0
13->3,0,0,0,0
3->14,0,0,0,0
14->3,0,0,0,0
3->19,58335,100506,71623,87218
19->3,58335,100506,87218,71623
3->21,0,0,0,0
21->3,0,0,0,0
3->22,0,0,0,0
22->3,0,0,0,0
3->23,0,0,0,0
23->3,0,0,0,0
3->24,0,0,0,0
24->3,0,0,0,0
3->25,0,0,0,0
25->3,0,0,0,0
3->26,0,1,1,0
26->3,0,1,0,1
3->29,0,0,0,0
29->3,0,0,0,0
3->33,0,0,0,0
33->3,0,0,0,0
3->36,222754,398707,229851,391610
36->3,222754,398707,391610,229851
3->39,0,0,0,0
39->3,0,0,0,0
4->6,0,0,0,0
6->4,0,0,0,0
4->7,0,0,0,0
7->4,0,0,0,0
4->8,196,255,239,212
8->4,196,255,212,239
4->9,0,0,0,0
9->4,0,0,0,0
4->11,205305,495487,487344,213448
11->4,205305,495487,213448,487344
4->12,0,0,0,0
12->4,0,0,0,0
4->13,0,0,0,0
13->4,0,0,0,0
4->14,0,1,0,1
14->4,0,1,1,0
4->19,0,0,0,0
19->4,0,0,0,0
4->21,0,0,0,0
21->4,0,0,0,0
4->22,0,0,0,0
22->4,0,0,0,0
4->23,0,0,0,0
23->4,0,0,0,0
4->24,100822,350677,347800,103699
24->4,100822,350677,103699,347800
4->25,0,0,0,0
25->4,0,0,0,0
4->26,0,0,0,0
26->4,0,0,0,0
4->29,0,23,15,8
29->4,0,23,8,15
4->33,291836,478742,438459,332119
33->4,291836,478742,332119,438459
4->36,0,0,0,0
36->4,0,0,0,0
4->39,0,0,0,0
39->4,0,0,0,0
6->7,0,0,0,0
7->6,0,0,0,0
6->8,0,0,0,0
8->6,0,0,0,0
6->9,0,0,0,0
9->6,0,0,0,0
6->11,0,0,0,0
11->6,0,0,0,0
6->12,7337,33006,32326,8017
12->6,7337,33006,8017,32326
6->13,0,1,1,0
13->6,0,1,0,1
6->14,0,0,0,0
14->6,0,0,0,0
6->19,95819,197149,192420,100548
19->6,95819,197149,100548,192420
6->21,0,0,0,0
21->6,0,0,0,0
6->22,0,0,0,0
22->6,0,0,0,0
6->23,0,0,0,0
23->6,0,0,0,0
6->24,0,0,0,0
24->6,0,0,0,0
6->25,0,0,0,0
25->6,0,0,0,0
6->26,0,0,0,0
26->6,0,0,0,0
6->29,0,0,0,0
29->6,0,0,0,0
6->33,0,0,0,0
33->6,0,0,0,0
6->36,183875,253182,237509,199548
36->6,183875,253182,199548,237509
6->39,0,0,0,0
39->6,0,0,0,0
7->8,0,0,0,0
8->7,0,0,0,0
7->9,0,0,0,0
9->7,0,0,0,0
7->11,0,0,0,0
11->7,0,0,0,0
7->12,0,0,0,0
12->7,0,0,0,0
7->13,0,0,0,0
13->7,0,0,0,0
7->14,519,860,741,638
14->7,519,860,638,741
7->19,0,0,0,0
19->7,0,0,0,0
7->21,0,126,126,0
21->7,0,126,0,126
7->22,0,0,0,0
22->7,0,0,0,0
7->23,0,0,0,0
23->7,0,0,0,0
7->24,0,0,0,0
24->7,0,0,0,0
7->25,0,0,0,0
25->7,0,0,0,0
7->26,14875,27395,19968,22302
26->7,14875,27395,22302,19968
7->29,0,0,0,0
29->7,0,0,0,0
7->33,0,0,0,0
33->7,0,0,0,0
7->36,0,0,0,0
36->7,0,0,0,0
7->39,376,448,392,432
39->7,376,448,432,392
8->9,0,0,0,0
9->8,0,0,0,0
8->11,0,3,2,1
11->8,0,3,1,2
8->12,0,0,0,0
12->8,0,0,0,0
8->13,0,0,0,0
13->8,0,0,0,0
8->14,0,0,0,0
14->8,0,0,0,0
8->19,0,0,0,0
19->8,0,0,0,0
8->21,1167,1688,1452,1403
21->8,1167,1688,1403,1452
8->22,0,0,0,0
22->8,0,0,0,0
8->23,0,0,0,0
23->8,0,0,0,0
8->24,0,0,0,0
24->8,0,0,0,0
8->25,0,0,0,0
25->8,0,0,0,0
8->26,401,444,415,430
26->8,401,444,430,415
8->29,500609,723166,546806,676969
29->8,500609,723166,676969,546806
8->33,0,24,9,15
33->8,0,24,15,9
8->36,0,0,0,0
36->8,0,0,0,0
8->39,8471,14534,8626,14379
39->8,8471,14534,14379,8626
9->11,0,0,0,0
11->9,0,0,0,0
9->12,0,0,0,0
12->9,0,0,0,0
9->13,299365,476725,471713,304377
13->9,299365,476725,304377,471713
9->14,0,0,0,0
14->9,0,0,0,0
9->19,0,0,0,0
19->9,0,0,0,0
9->21,0,0,0,0
21->9,0,0,0,0
9->22,0,0,0,0
22->9,0,0,0,0
9->23,0,0,0,0
23->9,0,0,0,0
9->24,0,0,0,0
24->9,0,0,0,0
9->25,0,0,0,0
25->9,0,0,0,0
9->26,0,0,0,0
26->9,0,0,0,0
9->29,0,0,0,0
29->9,0,0,0,0
9->33,0,0,0,0
33->9,0,0,0,0
9->36,0,0,0,0
36->9,0,0,0,0
9->39,0,0,0,0
39->9,0,0,0,0
11->12,0,0,0,0
12->11,0,0,0,0
11->13,0,0,0,0
13->11,0,0,0,0
11->14,0,17,0,17
14->11,0,17,17,0
11->19,0,0,0,0
19->11,0,0,0,0
11->21,0,0,0,0
21->11,0,0,0,0
11->22,0,0,0,0
22->11,0,0,0,0
11->23,0,0,0,0
23->11,0,0,0,0
11->24,340173,450613,394380,396406
24->11,340173,450613,396406,394380
11->25,0,0,0,0
25->11,0,0,0,0
11->26,0,0,0,0
26->11,0,0,0,0
11->29,0,0,0,0
29->11,0,0,0,0
11->33,344848,574353,373295,545906
33->11,344848,574353,545906,373295
11->36,0,0,0,0
36->11,0,0,0,0
