Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,37,14/05,11:05:55,42
5,4,16/05,09:06:12,35
6,4,16/05,10:02:51,78
7,4,16/05,10:08:41,1
8,4,16/05,10:15:45,4
9,4,16/05,11:04:22,30
10,4,16/05,19:16:31,1
11,4,16/05,19:22:42,361
12,4,16/05,20:03:36,158
13,4,16/05,21:03:47,406
14,4,16/05,22:17:42,514
15,4,16/05,22:31:47,992
16,4,16/05,22:53:07,516
17,4,16/05,23:06:48,577
18,4,16/05,23:40:57,3474
19,4,17/05,01:11:07,12
20,4,17/05,01:51:07,105
21,4,17/05,01:59:24,56
22,4,17/05,02:26:57,1
23,4,17/05,02:48:26,1052
24,4,17/05,03:17:58,18
25,4,17/05,03:53:55,64
26,4,17/05,04:54:43,4
27,4,17/05,05:44:47,72
28,4,17/05,05:57:45,1
29,4,17/05,08:31:33,9
30,4,17/05,08:55:26,1
31,4,17/05,09:02:50,85
32,4,17/05,09:42:36,14
33,39,17/05,14:03:53,661
34,39,17/05,15:01:33,7
35,39,17/05,15:05:59,203
36,33,17/05,18:41:19,62
37,33,17/05,18:51:05,1
38,33,17/05,21:42:55,172
39,33,18/05,02:05:15,150
40,33,18/05,02:16:48,1
41,33,18/05,02:30:54,108
42,33,18/05,02:46:59,6
43,33,18/05,03:20:51,1545
44,33,18/05,03:53:37,14
45,33,18/05,03:58:26,180
46,33,18/05,04:08:11,2148
47,33,18/05,05:21:36,1
48,33,18/05,06:12:38,3
49,33,18/05,09:44:21,196
50,24,18/05,11:58:21,96
51,24,18/05,12:19:45,474
52,4,18/05,12:28:45,328
53,24,18/05,12:34:19,1
54,24,18/05,13:07:27,171
55,24,18/05,13:27:41,1
56,24,18/05,13:36:29,165
57,4,18/05,14:11:05,3
58,24,18/05,16:26:48,546
59,24,18/05,16:43:53,255
60,33,18/05,16:48:25,62
61,33,18/05,16:54:05,1
62,33,18/05,16:59:22,35
63,24,18/05,18:18:35,32
64,33,18/05,18:21:21,1
65,33,18/05,18:26:45,767
66,33,18/05,19:33:17,857
67,33,18/05,20:05:59,6
68,33,18/05,20:10:41,1051
69,33,18/05,20:36:46,244
70,33,18/05,20:47:10,76
71,4,18/05,21:43:32,1
72,33,18/05,20:53:44,3348
73,33,18/05,21:54:42,321
74,33,18/05,22:06:43,7
75,24,18/05,22:13:39,181
76,4,18/05,22:17:06,7057
77,33,19/05,00:16:30,195
78,24,19/05,00:16:16,582
79,24,19/05,00:30:42,1
80,4,19/05,00:33:05,5
81,4,19/05,00:53:11,401
82,4,19/05,01:04:19,1189
83,24,19/05,01:32:42,1
84,4,19/05,01:31:21,131
85,4,19/05,01:39:26,761
86,24,19/05,01:45:01,495
87,24,19/05,01:57:52,1
88,24,19/05,02:03:57,117
89,24,19/05,02:12:08,1
90,24,19/05,02:23:33,1
91,24,19/05,02:28:26,519
92,24,19/05,02:41:56,1
93,24,19/05,02:56:29,830
94,4,19/05,03:15:11,1
95,33,19/05,02:57:04,1153
96,33,19/05,03:26:46,1097
97,4,19/05,04:04:31,471
98,24,19/05,04:04:23,2273
99,33,19/05,04:09:47,1994
100,4,19/05,04:41:47,127
101,4,19/05,04:49:23,44
102,33,19/05,04:48:52,200
103,4,19/05,04:55:06,1
104,4,19/05,04:59:43,1
105,4,19/05,05:17:14,89
106,4,19/05,05:23:22,1367
107,33,19/05,05:36:25,683
108,33,19/05,05:54:05,1
109,24,19/05,05:54:17,120
110,4,19/05,05:55:17,403
111,33,19/05,06:05:23,1
112,4,19/05,06:09:46,1
113,4,19/05,06:14:15,7
114,24,19/05,06:14:37,20
115,24,19/05,06:22:07,410
116,24,19/05,06:34:33,294
117,24,19/05,06:43:59,416
118,4,19/05,06:49:27,115
119,24,19/05,07:00:27,31
120,33,19/05,07:23:54,1
121,33,19/05,07:38:42,148
122,34,19/05,07:58:04,1
123,4,19/05,08:07:10,1
124,33,19/05,08:24:33,2
125,33,19/05,08:41:59,3
126,4,19/05,08:44:00,9
127,24,19/05,08:57:45,27
128,33,19/05,08:58:55,266
129,4,19/05,10:23:36,61
130,4,19/05,11:01:34,1
131,33,19/05,12:08:47,173
132,33,19/05,12:26:25,697
133,4,19/05,12:40:47,771
134,4,19/05,13:17:31,1059
135,4,19/05,13:53:31,112
136,4,19/05,14:00:04,1
137,4,19/05,14:10:17,175
138,33,19/05,15:23:36,133
139,24,19/05,16:02:23,26
140,24,19/05,16:41:10,215
141,24,19/05,16:52:45,1
142,33,19/05,17:35:32,45
143,33,19/05,17:45:04,80
144,24,19/05,17:55:36,1
145,4,19/05,18:09:07,1
146,24,19/05,18:01:07,556
147,33,19/05,18:31:57,554
148,33,19/05,18:45:55,43
149,4,19/05,19:07:16,1
150,33,19/05,19:08:03,109
151,33,19/05,19:23:32,1
152,33,19/05,19:42:36,261
153,33,19/05,19:52:22,1
154,33,19/05,19:58:05,1
155,4,19/05,20:31:29,1
156,33,19/05,21:18:10,79
157,33,19/05,22:39:59,251
158,4,19/05,23:11:04,1
159,24,19/05,23:16:08,855
160,24,19/05,23:36:35,369
161,24,19/05,23:47:52,1
162,24,19/05,23:52:29,1
163,24,19/05,23:57:02,1368
164,24,20/05,00:25:15,89
165,24,20/05,00:37:54,717
166,33,20/05,00:55:56,180
167,33,20/05,01:28:53,212
168,24,20/05,00:59:50,2542
169,33,20/05,01:37:21,661
170,24,20/05,01:47:53,627
171,33,20/05,02:15:00,251
172,24,20/05,02:14:33,381
173,24,20/05,02:58:38,55
174,24,20/05,03:05:48,4
175,33,20/05,04:11:25,505
