Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,57,11/06,22:42:01,1
4,114,11/06,22:51:15,159
5,114,11/06,23:07:04,1
6,57,11/06,23:32:00,1
7,228,12/06,00:36:43,1
8,114,12/06,00:50:56,1
9,57,12/06,01:46:56,104
10,228,12/06,01:56:03,1
11,228,12/06,02:31:27,1
12,114,12/06,02:52:42,1
13,114,12/06,02:57:54,1
14,57,12/06,03:23:14,1
15,114,12/06,10:25:05,1
16,114,12/06,11:05:35,1
17,57,12/06,12:53:24,1
18,28,11/06,20:57:44,65535
19,16,12/06,05:17:21,65535
20,28,11/06,20:57:44,65535
21,57,13/06,14:38:49,1
22,15,13/06,14:49:54,146
23,37,13/06,14:42:44,580
24,37,13/06,14:57:25,30
25,16,12/06,05:17:21,65535
26,20,13/06,17:35:02,191
27,20,13/06,18:36:01,452
28,16,12/06,05:17:21,6261
30,35,13/06,19:47:59,1
31,1,13/06,19:48:00,3
32,28,13/06,19:47:58,10
33,1,13/06,20:01:37,53
34,28,13/06,20:01:42,60
35,19,18/06,09:37:41,7
36,3,24/06,18:58:42,225
37,19,25/06,17:10:39,2
38,6,25/06,19:45:47,437
39,43,26/06,11:54:27,26
40,6,27/06,12:54:31,40
41,6,27/06,13:14:59,11
42,6,27/06,13:22:24,1
43,6,27/06,13:28:16,1
44,6,27/06,14:23:01,35
45,19,28/06,23:27:57,19
46,19,29/06,00:13:39,1
47,6,29/06,00:32:44,178
48,6,29/06,02:59:50,1
49,6,29/06,03:14:32,100
50,6,29/06,03:20:35,237
51,6,29/06,03:34:28,80
52,6,29/06,04:44:50,25
53,43,01/07,17:47:37,1
54,6,07/07,05:59:53,53
55,36,18/07,07:48:23,23
56,43,20/07,06:37:34,202
57,43,20/07,06:55:09,1
58,6,20/07,17:18:51,697
59,6,20/07,17:40:09,268
60,6,20/07,18:26:43,445
61,36,20/07,21:14:30,636
62,19,22/07,12:19:35,5
63,6,24/07,07:27:49,1
64,6,25/07,17:47:22,1
65,32,29/07,09:02:15,28
66,19,31/07,16:33:50,1
67,19,31/07,21:44:39,9
68,6,31/07,23:22:17,1
69,43,01/08,17:22:31,84
70,36,02/08,06:54:31,255
71,36,02/08,07:35:39,2
72,36,02/08,08:06:39,3
73,6,02/08,20:30:17,19
74,6,02/08,22:08:41,10
75,36,03/08,06:29:55,117
