Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,2,13/05,12:54:47,10
5,34,19/05,06:57:48,17
6,34,19/05,07:14:39,1
7,26,25/05,10:48:15,32
8,7,26/05,08:04:38,1
9,26,28/05,08:57:23,57
10,26,03/06,10:07:17,196
11,7,04/06,06:40:49,228
12,7,04/06,06:51:11,165
13,26,05/06,18:11:01,1
14,26,08/06,07:52:26,1
15,34,08/06,08:10:42,42
16,26,08/06,16:32:57,1
17,7,11/06,11:01:30,75
18,34,13/06,00:22:18,4954
19,34,13/06,02:18:54,232
20,7,14/06,15:42:26,7
21,2,19/06,09:24:04,1
22,26,19/06,09:38:16,1
23,26,20/06,08:54:29,1874
24,26,20/06,09:38:13,969
25,26,20/06,09:59:48,1
26,26,20/06,10:11:30,6
27,26,20/06,10:18:08,1027
28,50,20/06,11:11:27,100
29,50,20/06,11:20:11,14
30,2,20/06,11:51:50,328
31,50,21/06,19:00:44,11
32,50,22/06,10:14:09,1
33,2,22/06,14:11:47,282
34,7,22/06,19:23:16,33
35,50,23/06,13:03:21,185
36,50,23/06,13:16:17,15
37,7,24/06,17:31:20,1
38,50,25/06,08:05:37,22
39,50,28/06,18:58:24,1
40,7,28/06,19:29:09,90
41,2,01/07,00:31:29,1
42,2,01/07,00:44:00,1
43,2,01/07,07:08:55,6
44,50,01/07,15:50:20,40
45,2,01/07,16:05:31,1
46,2,02/07,22:36:52,1
47,2,02/07,22:41:56,517
48,26,02/07,22:51:28,2
49,2,03/07,07:03:36,288
50,2,03/07,07:13:54,52
51,50,03/07,07:16:44,1
52,2,05/07,05:15:06,1
53,50,05/07,10:05:13,1
54,2,05/07,11:56:11,1
55,2,05/07,13:26:26,7
56,2,05/07,19:39:42,1
57,7,06/07,07:35:40,14
58,7,09/07,18:33:53,1
59,50,10/07,09:31:47,103
60,47,12/07,06:56:41,1
61,7,13/07,03:57:02,1
62,7,14/07,08:17:41,144
63,18,17/07,19:12:19,212
64,50,19/07,08:04:02,296
65,2,22/07,11:56:10,1
66,50,23/07,08:13:32,8
67,39,24/07,08:10:22,512
68,7,27/07,18:49:29,164
69,2,31/07,14:34:17,3
70,7,01/08,10:24:47,1
71,2,01/08,10:32:14,1
72,2,04/08,11:15:52,15
73,11,05/08,08:21:16,17
74,4,05/08,08:24:37,1
75,2,06/08,13:49:17,15
76,2,06/08,17:13:01,1
77,2,06/08,17:18:54,1
78,2,06/08,17:26:46,11
79,2,06/08,17:33:11,289
80,2,06/08,18:05:54,26
81,2,06/08,18:17:19,1
82,2,06/08,18:46:44,1
83,2,06/08,18:54:04,158
84,2,06/08,19:03:12,1
85,2,06/08,19:08:24,77
86,29,07/08,06:57:51,37
87,7,07/08,07:53:25,182
88,2,07/08,18:59:55,3
89,50,09/08,07:04:50,26
90,18,09/08,12:00:37,2
91,2,09/08,17:07:32,2
92,2,11/08,08:49:25,11
93,2,13/08,03:32:50,1
94,50,13/08,09:04:02,160
95,2,13/08,09:26:42,46
96,2,13/08,19:23:20,123
97,48,16/08,08:20:46,10
98,27,17/08,08:32:37,1
99,24,18/08,09:01:56,1
100,50,19/08,10:29:08,146
101,50,24/08,10:07:13,167
102,50,24/08,10:42:18,10
103,50,27/08,07:30:53,1
104,26,29/08,09:52:01,1
105,26,01/09,08:25:58,118
106,26,01/09,11:12:59,7
107,26,01/09,11:29:49,302
108,26,01/09,11:43:42,106
109,26,01/09,11:59:33,1
110,26,01/09,12:13:54,371
111,26,02/09,18:32:37,1
112,26,04/09,08:56:35,397
113,33,07/09,08:54:20,1
114,4,08/09,08:20:53,4
115,26,09/09,10:52:02,1
116,26,09/09,11:14:17,18
117,26,09/09,11:43:55,243
118,26,09/09,11:58:00,3182
119,26,09/09,12:55:58,1
120,26,09/09,13:07:18,181
121,26,09/09,13:15:33,804
122,26,09/09,13:33:34,344
123,26,09/09,13:52:54,1
124,26,09/09,14:08:28,909
125,26,09/09,14:28:19,254
126,26,09/09,14:43:25,36
127,26,09/09,14:57:07,771
128,26,09/09,15:49:29,1
129,26,09/09,15:55:09,215
130,26,09/09,16:09:02,182
131,26,09/09,16:17:01,196
132,26,09/09,16:48:53,1
133,26,09/09,16:55:16,44
134,18,19/09,19:25:40,16
135,18,19/09,19:30:16,4
136,26,21/09,08:42:24,6
137,26,25/09,19:46:58,380
138,26,25/09,20:10:17,1269
139,26,25/09,20:36:43,987
140,26,25/09,20:59:42,72
141,26,25/09,21:05:51,283
142,26,25/09,22:02:22,1
143,26,26/09,00:16:05,2142
144,26,26/09,00:58:18,232
145,26,26/09,01:11:02,329
146,26,26/09,01:21:51,783
147,26,26/09,01:39:37,1466
148,26,26/09,02:09:47,1139
149,26,26/09,02:42:49,1
150,26,26/09,03:50:59,1
151,26,26/09,03:57:51,933
152,26,26/09,04:18:44,1
153,26,26/09,05:09:12,50
154,26,26/09,05:35:55,483
155,26,26/09,05:51:21,340
156,33,29/09,11:26:11,1
157,4,30/09,12:14:08,1
158,26,02/10,09:02:09,208
159,26,02/10,09:12:45,344
160,33,08/10,15:22:31,209
161,27,11/10,15:26:27,12
162,27,17/10,15:46:17,1
163,26,17/10,16:26:16,1
164,4,24/10,15:06:23,122
165,26,02/11,13:38:32,95
166,26,02/11,13:55:03,3
167,8,02/11,14:19:57,113
168,26,28/11,15:07:49,48
169,26,29/11,11:38:09,38
170,26,01/12,11:43:47,223
171,8,11/12,11:42:18,115
172,24,11/12,12:01:55,1
173,4,12/12,10:46:21,117
174,26,12/12,10:54:54,93
175,26,12/12,11:17:35,72
176,24,02/01,12:23:50,1
177,26,11/01,11:30:34,97
178,26,22/01,17:34:44,47
179,26,22/01,17:40:09,1
180,26,22/01,19:22:56,3
181,26,23/01,09:39:43,1
182,26,23/01,10:16:14,1
183,26,23/01,11:33:47,268
184,26,24/01,18:04:17,7
185,26,24/01,18:20:03,314
186,26,24/01,18:33:09,1667
187,26,24/01,19:06:40,4492
188,26,24/01,20:25:51,282
189,26,24/01,20:40:24,217
190,26,24/01,20:48:26,1661
191,26,24/01,21:20:52,411
192,26,24/01,21:33:23,788
193,26,24/01,21:55:33,1238
194,26,24/01,22:29:49,1266
195,26,24/01,22:55:41,459
196,26,24/01,23:10:00,1
197,26,24/01,23:14:43,223
198,26,25/01,00:03:39,909
199,26,25/01,00:24:52,5062
200,26,25/01,01:54:02,213
201,26,25/01,02:07:07,463
202,26,25/01,02:19:16,1
203,26,25/01,02:23:45,1
204,26,25/01,03:29:03,1
205,26,25/01,04:00:47,1
206,26,25/01,04:05:42,225
207,26,25/01,04:24:44,1
208,26,25/01,04:41:17,1
209,26,25/01,04:49:35,6
210,26,25/01,04:57:33,319
211,26,25/01,05:12:21,1
212,26,25/01,05:17:39,1718
213,26,25/01,05:50:57,1
214,26,25/01,05:55:31,1584
215,26,25/01,06:50:57,1
216,26,25/01,07:01:09,76
217,26,25/01,07:07:15,1
218,26,25/01,07:12:12,3417
219,26,25/01,08:51:16,1063
220,26,25/01,09:14:02,1886
221,26,25/01,12:57:12,10
222,26,25/01,13:11:39,141
223,26,25/01,13:20:35,68
224,26,25/01,13:54:03,77
225,26,26/01,09:43:11,7
226,26,26/01,10:46:51,2
227,26,26/01,15:59:41,2580
228,26,26/01,16:50:15,1
229,26,26/01,17:00:47,1
230,26,26/01,17:18:35,1
231,26,26/01,17:47:26,1
232,26,26/01,17:55:42,1
233,26,26/01,18:04:36,20
234,26,26/01,18:13:39,963
235,26,26/01,18:35:36,192
236,26,26/01,18:50:03,153
237,26,26/01,18:58:43,426
238,26,27/01,09:52:56,80
239,26,28/01,15:54:17,1
240,26,28/01,16:03:47,148
241,26,29/01,11:20:21,101
242,26,30/01,14:51:18,104
243,26,31/01,13:27:04,1
244,26,01/02,13:32:07,151
245,26,01/02,13:40:53,36
246,26,01/02,14:29:00,101
247,26,01/02,14:44:55,13
248,26,01/02,14:52:50,60
249,26,01/02,15:02:02,114
250,26,01/02,15:08:40,84
251,26,01/02,15:17:56,54
252,26,01/02,16:20:41,1462
253,26,01/02,17:06:58,1
254,26,01/02,17:25:00,1177
255,26,01/02,17:49:39,1112
256,26,01/02,18:15:53,697
257,26,01/02,18:32:37,7647
258,26,01/02,20:46:11,1800
259,26,01/02,21:21:00,262
260,26,01/02,21:38:54,6448
261,26,02/02,00:22:50,66
262,26,02/02,00:29:50,596
263,26,02/02,01:08:35,24
264,26,02/02,01:52:47,164
265,26,02/02,02:05:23,1
266,26,02/02,02:11:13,164
267,26,02/02,02:18:33,1
268,26,02/02,03:46:24,1
269,26,02/02,03:52:12,52
