Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,36,06/06,07:27:04,1
4,3,06/06,12:22:59,105
5,36,06/06,14:38:16,538
6,36,06/06,15:43:41,60
7,6,06/06,16:02:27,1
8,36,06/06,16:15:35,9
9,6,06/06,16:30:20,234
10,3,06/06,20:00:05,25
11,3,07/06,02:43:14,1
12,3,07/06,02:53:11,73
13,3,07/06,03:01:01,264
14,3,07/06,03:10:38,1
15,3,07/06,03:26:49,106
16,3,07/06,03:33:11,4
17,3,07/06,03:41:55,1
18,3,07/06,03:52:00,1
19,3,07/06,04:01:55,1
20,3,07/06,04:08:41,196
21,3,07/06,04:20:43,197
22,3,07/06,04:34:50,3
23,3,07/06,04:42:23,719
24,3,07/06,05:01:52,509
25,3,07/06,05:18:01,2
26,3,07/06,05:25:24,359
27,3,07/06,10:02:52,39
28,36,07/06,16:32:47,34
29,36,07/06,18:09:52,8
30,6,07/06,18:23:37,158
31,36,07/06,18:23:57,338
32,6,07/06,19:15:41,1
33,6,07/06,19:23:10,1044
34,36,07/06,19:48:12,213
35,6,07/06,19:53:16,75
36,6,07/06,20:01:36,20
37,6,07/06,20:14:22,1
38,6,07/06,20:21:07,565
39,36,07/06,20:54:13,1
40,6,07/06,20:40:42,829
41,6,07/06,20:59:29,18
42,6,07/06,21:23:17,1
43,36,07/06,21:00:09,1645
44,36,07/06,21:31:54,204
45,36,07/06,21:40:32,28
46,6,07/06,21:32:00,686
47,6,07/06,21:50:07,283
48,6,07/06,22:00:37,1
49,6,07/06,22:09:55,190
50,36,07/06,22:11:20,219
51,36,07/06,22:20:36,1
52,36,07/06,22:25:38,352
53,36,07/06,22:40:31,59
54,36,07/06,22:49:07,11
55,36,07/06,22:54:11,140
56,36,07/06,23:39:49,282
57,36,07/06,23:55:50,274
58,36,08/06,00:11:26,91
59,36,08/06,01:14:07,133
60,36,08/06,01:31:09,26
61,36,08/06,03:28:02,437
62,36,08/06,05:12:50,44
63,6,08/06,15:51:37,261
64,40,08/06,16:43:13,5
65,40,08/06,16:48:30,76
66,40,08/06,16:57:02,1
67,40,08/06,17:32:00,67
68,36,08/06,18:57:41,1
69,36,09/06,06:21:56,4
70,36,09/06,07:51:34,31
71,36,09/06,07:57:13,15
72,36,09/06,08:57:12,1
73,36,09/06,09:03:19,1
74,36,09/06,09:58:51,30
75,36,09/06,11:52:47,241
76,36,09/06,12:08:04,15
77,36,09/06,13:31:23,2
78,36,09/06,21:03:10,70
79,36,09/06,21:09:28,453
80,36,09/06,21:36:48,7
81,36,09/06,21:43:14,108
82,36,09/06,21:51:56,1
83,36,09/06,21:57:12,42
84,36,09/06,22:11:10,862
85,36,09/06,22:54:40,25
86,36,09/06,23:18:49,1
87,36,10/06,00:10:04,1
88,36,10/06,02:35:00,1221
