Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,4,20/04,18:05:37,1
5,18,20/04,18:05:40,30
6,11,20/04,18:05:44,304
7,4,20/04,18:19:45,3
8,18,20/04,18:16:48,252
9,11,20/04,18:19:42,81
10,39,23/04,17:59:42,1
11,34,04/05,09:42:57,35
12,29,06/05,08:12:50,225
13,34,14/05,07:14:22,90
14,17,26/05,08:40:43,198
15,34,28/05,12:33:51,8
16,34,29/05,10:35:15,161
17,25,30/05,07:50:20,91
18,17,30/05,07:50:38,498
19,17,30/05,08:24:14,14
20,23,01/06,08:24:07,1
21,23,01/06,08:39:08,4
22,34,09/06,18:55:58,370
23,39,15/06,07:20:54,3
24,38,22/06,09:13:33,80
25,27,29/06,12:33:01,1
26,27,18/07,18:48:04,555
27,27,19/07,05:27:35,3
28,27,19/07,06:56:44,550
29,8,19/07,08:59:47,202
30,39,19/07,11:33:58,1
31,27,19/07,15:59:04,59
32,27,19/07,16:06:31,235
33,27,19/07,16:18:34,1
34,27,19/07,16:35:33,1
35,8,19/07,17:43:00,8
36,39,19/07,21:11:58,1
37,27,20/07,02:05:42,54
38,27,20/07,02:16:57,78
39,27,20/07,05:49:17,375
40,27,20/07,06:08:29,114
41,27,20/07,06:56:52,74
42,27,20/07,07:13:07,126
43,27,20/07,07:22:22,143
44,27,20/07,07:48:37,4
45,27,20/07,07:53:58,21
46,27,20/07,09:11:23,1
47,27,20/07,12:33:40,31
48,27,20/07,14:31:00,128
49,27,20/07,15:03:29,20
50,27,20/07,17:04:11,123
51,27,20/07,17:20:27,93
52,39,20/07,17:35:18,1
53,27,20/07,17:40:23,1
54,27,20/07,18:10:56,1
55,27,20/07,19:12:57,39
56,27,20/07,20:03:03,250
57,8,21/07,07:08:10,162
58,27,21/07,07:56:53,21
59,8,21/07,08:11:36,6
60,8,21/07,11:29:21,465
61,8,21/07,18:20:55,60
62,8,21/07,19:28:12,1
63,27,22/07,08:55:33,245
64,27,22/07,09:34:36,79
65,27,22/07,16:03:24,39
66,8,23/07,12:30:38,498
67,8,23/07,12:45:41,1
68,27,24/07,06:45:02,6
69,29,24/07,06:57:56,12
70,29,24/07,07:14:31,1
71,29,24/07,07:30:20,326
72,29,24/07,07:41:23,395
73,29,24/07,07:53:39,1
74,29,28/07,17:27:21,22
75,29,28/07,17:41:01,127
76,29,28/07,17:47:30,133
77,26,31/07,07:48:05,28
78,25,04/08,13:33:15,326
79,25,04/08,14:36:43,3
80,25,04/08,14:45:07,15
81,25,04/08,14:49:49,83
82,25,04/08,14:57:11,1
83,25,04/08,15:01:51,1
84,25,04/08,18:40:04,1
85,17,05/08,07:43:59,13
86,17,05/08,07:52:14,5
87,17,05/08,07:56:46,58
88,23,05/08,10:01:56,1
89,23,05/08,10:06:44,6
90,17,06/08,14:37:20,9
91,17,06/08,17:44:57,37
92,17,06/08,17:52:08,130
93,17,06/08,18:41:51,5
94,25,06/08,21:56:20,57
95,23,07/08,05:50:06,54
96,23,07/08,06:00:52,4
97,17,07/08,06:58:06,87
98,17,08/08,09:47:28,5
99,23,09/08,00:01:43,116
100,17,09/08,09:26:34,1
101,17,09/08,09:52:38,1
102,25,09/08,09:54:10,34
103,23,09/08,09:56:37,5
104,17,09/08,19:17:35,1
105,23,09/08,19:54:01,372
106,23,09/08,23:16:53,317
107,23,10/08,06:06:29,7
108,25,10/08,07:37:16,36
109,23,10/08,07:49:13,18
110,17,11/08,07:30:56,7
111,25,11/08,07:44:10,6
112,25,12/08,11:58:43,215
113,23,12/08,13:47:10,238
114,23,12/08,14:39:57,7
115,23,13/08,08:44:45,107
116,23,13/08,08:51:37,1
117,25,13/08,09:52:00,2
118,25,13/08,10:16:28,235
119,25,13/08,10:28:51,455
120,17,13/08,10:39:59,319
121,17,13/08,11:19:09,1
122,17,13/08,11:35:09,1
123,23,13/08,11:35:48,4
124,23,13/08,11:45:10,1
125,25,13/08,11:55:23,1130
126,25,13/08,12:18:52,1
127,25,13/08,12:58:18,185
128,23,13/08,14:31:50,1
129,25,13/08,14:31:53,3
130,17,13/08,14:32:18,83
131,17,13/08,14:40:13,1
132,17,13/08,14:46:50,1
133,23,13/08,15:45:06,49
134,17,13/08,15:45:44,59
135,23,13/08,15:54:52,1
136,17,13/08,15:55:53,6
137,23,13/08,16:07:07,5
138,23,13/08,16:18:25,1
139,23,13/08,16:23:04,1
140,17,13/08,16:25:29,5
141,25,13/08,16:24:31,71
142,25,13/08,16:31:34,1
143,17,13/08,16:43:59,347
144,17,13/08,17:01:18,58
145,17,13/08,17:08:47,68
146,25,13/08,17:26:02,1
147,23,13/08,17:27:27,69
148,17,13/08,17:23:24,316
149,17,13/08,17:36:16,3
150,17,13/08,17:45:53,169
151,23,13/08,18:00:54,1
152,17,13/08,17:54:44,776
153,17,13/08,18:14:14,125
154,23,13/08,19:16:14,1
155,25,13/08,19:24:31,1
156,23,13/08,19:43:45,1
157,23,13/08,20:30:06,335
158,17,14/08,07:06:26,848
159,17,14/08,07:27:18,1513
160,17,14/08,08:01:43,17
161,17,14/08,08:11:45,1
162,17,14/08,08:16:21,481
163,17,14/08,09:26:36,1
164,17,15/08,09:15:54,2
165,25,16/08,19:52:20,9
166,25,16/08,20:04:56,366
167,23,16/08,20:16:50,87
168,25,16/08,20:50:18,191
169,23,16/08,21:30:17,905
170,23,16/08,21:49:48,1
171,23,17/08,01:08:03,43
172,23,17/08,01:13:12,863
173,23,17/08,01:33:34,1358
174,23,17/08,02:27:35,599
175,25,17/08,02:48:15,70
176,23,17/08,02:47:19,1247
177,23,17/08,03:41:43,1
178,23,17/08,04:15:51,1
179,23,17/08,04:25:46,1
180,25,17/08,06:39:26,96
181,23,17/08,07:35:16,1
182,23,17/08,08:12:08,417
183,25,17/08,08:44:40,2
184,23,17/08,11:06:59,111
185,17,18/08,02:59:59,20
186,25,18/08,04:52:18,57
187,17,18/08,06:23:03,74
188,17,18/08,06:53:24,65
189,17,18/08,07:14:07,25
190,23,18/08,07:47:05,1
191,25,18/08,19:54:21,24
192,25,19/08,01:23:08,1
193,23,19/08,06:06:10,1
194,23,19/08,08:45:16,224
195,23,19/08,08:58:04,1
196,25,20/08,08:59:23,5
197,25,20/08,09:32:06,303
198,25,20/08,09:58:39,163
199,25,20/08,10:07:42,32
200,17,20/08,12:42:38,1
201,25,20/08,13:11:03,403
202,25,20/08,13:42:45,233
203,17,20/08,17:01:17,25
204,25,20/08,17:09:36,285
205,25,20/08,17:26:57,1
206,25,20/08,17:33:43,216
207,25,20/08,17:58:49,1
208,25,20/08,19:08:33,54
209,25,20/08,19:59:25,119
210,25,20/08,22:05:52,428
211,23,20/08,22:16:36,423
212,25,21/08,00:15:35,49
213,23,21/08,00:17:52,222
214,23,21/08,00:37:47,11
215,23,21/08,00:44:06,6
216,23,21/08,00:58:52,1
217,23,21/08,01:04:55,296
218,23,21/08,01:19:53,1227
219,23,21/08,01:47:14,2026
220,23,21/08,02:29:08,2409
221,23,21/08,04:22:28,1
222,23,21/08,04:27:28,1
223,23,21/08,04:34:08,6
224,23,21/08,04:55:26,14
225,23,21/08,05:00:40,3
226,23,21/08,05:05:28,1
227,23,21/08,05:17:05,1
228,23,21/08,05:21:35,1
229,23,21/08,05:26:11,1
230,23,21/08,05:32:46,1
231,23,21/08,05:39:54,1
232,23,21/08,05:49:19,119
233,25,21/08,06:12:54,1
234,23,21/08,06:13:07,57
235,17,21/08,06:13:34,50
236,25,21/08,06:25:47,33
237,17,21/08,06:30:33,1
238,25,21/08,06:44:05,270
239,17,21/08,06:51:46,30
240,23,21/08,06:54:28,1
241,25,21/08,06:55:16,13
242,23,21/08,06:59:00,1
243,23,21/08,07:03:32,40
244,23,21/08,07:23:07,147
245,17,21/08,08:11:32,300
246,17,21/08,08:22:20,886
247,17,21/08,08:42:22,398
248,25,21/08,09:24:51,1188
249,25,21/08,09:57:17,1754
250,17,21/08,10:28:44,86
251,25,21/08,10:45:55,15
252,17,21/08,10:46:42,146
253,17,21/08,11:07:53,274
254,25,21/08,10:50:40,2267
255,17,21/08,11:18:08,1046
256,25,21/08,11:34:46,150
257,17,21/08,11:47:35,345
258,17,21/08,11:57:41,687
259,25,21/08,12:14:36,303
260,23,21/08,16:41:28,177
261,17,21/08,16:41:25,307
262,23,21/08,17:02:02,16
263,17,21/08,16:54:17,946
264,25,21/08,19:12:58,1
265,25,21/08,22:51:47,19
266,17,21/08,22:51:23,464
267,17,21/08,23:14:19,148
268,17,21/08,23:24:43,3
269,25,21/08,23:16:30,623
270,17,21/08,23:34:11,36
271,25,21/08,23:51:29,139
272,17,21/08,23:41:01,1191
273,17,22/08,00:34:12,1
274,17,22/08,00:48:43,185
275,17,22/08,01:32:26,1
276,17,22/08,01:41:07,1
277,17,22/08,01:49:51,1
278,17,22/08,02:34:29,115
279,17,22/08,02:45:30,1
280,17,22/08,02:50:27,1
281,17,22/08,03:09:03,1
282,17,22/08,04:04:37,168
283,17,22/08,04:26:29,1
284,17,22/08,04:41:29,1
285,17,22/08,04:50:01,77
286,17,22/08,04:59:51,1
287,17,22/08,05:08:36,1
288,17,22/08,05:13:33,2
289,25,22/08,05:12:57,1531
290,25,22/08,05:42:56,1147
291,23,22/08,05:39:23,1364
292,23,22/08,06:09:11,107
293,23,22/08,06:17:40,1
294,25,22/08,06:35:36,64
295,25,22/08,07:28:47,1
296,23,22/08,07:37:32,37
297,23,22/08,07:47:39,3
298,25,22/08,08:02:32,317
299,17,23/08,07:43:43,1
300,25,23/08,09:21:50,1
301,25,23/08,12:31:40,1476
302,17,23/08,13:02:25,1
303,25,23/08,13:02:20,293
304,17,23/08,13:07:33,227
305,25,23/08,13:30:11,221
306,17,23/08,13:42:41,114
307,25,23/08,13:42:11,184
308,25,23/08,14:03:19,173
309,25,23/08,14:53:29,359
310,25,23/08,15:04:25,437
311,25,23/08,15:19:03,221
312,25,23/08,15:27:17,131
313,25,23/08,15:52:29,19
314,17,23/08,16:04:43,15
315,25,23/08,16:14:56,247
316,17,23/08,16:17:25,1369
317,17,23/08,16:45:39,1
318,17,23/08,16:50:19,1
319,17,23/08,16:54:54,1
320,25,23/08,17:00:10,220
321,17,23/08,17:16:09,1
322,25,23/08,17:28:26,1
323,17,23/08,17:26:47,217
324,25,23/08,17:54:34,120
325,25,23/08,18:50:50,1
326,25,24/08,10:06:36,91
327,25,24/08,10:28:49,2
328,25,24/08,13:30:41,52
329,17,24/08,18:46:01,344
330,25,24/08,19:14:54,220
331,17,24/08,19:24:06,25
332,25,24/08,19:27:51,61
333,25,24/08,20:20:26,7
334,17,25/08,11:28:03,1
335,17,25/08,11:32:43,35
336,25,25/08,12:27:25,1
337,25,25/08,15:20:21,1310
338,25,25/08,15:46:57,5
339,25,25/08,15:51:21,48
340,25,25/08,15:59:12,1
341,25,26/08,10:38:54,303
342,17,26/08,11:38:08,1
343,17,26/08,12:05:55,32
344,25,26/08,12:44:42,1
345,17,26/08,12:48:13,1716
346,25,26/08,13:55:45,216
347,25,26/08,14:04:08,11
348,25,26/08,14:52:46,37
349,17,26/08,15:11:25,1
350,25,26/08,15:08:45,331
351,17,26/08,16:22:24,107
352,17,26/08,16:37:28,22
353,17,26/08,16:42:11,3
354,17,26/08,16:48:12,63
355,17,26/08,16:54:16,228
356,25,26/08,16:54:17,318
357,25,26/08,17:04:13,69
358,25,26/08,17:12:59,285
359,17,26/08,17:30:54,1
360,25,26/08,18:10:07,1
361,17,26/08,18:10:10,9
362,17,26/08,18:40:33,9
363,17,26/08,18:48:59,109
364,17,26/08,18:55:36,1
365,25,26/08,19:12:50,26
366,17,26/08,19:14:05,425
367,17,26/08,19:27:15,4
368,17,26/08,19:38:41,1
369,25,26/08,23:09:34,10
370,25,27/08,06:34:48,1
371,25,27/08,06:57:10,275
372,17,27/08,07:16:09,646
373,17,27/08,08:09:09,1
374,25,27/08,08:20:51,1
375,25,27/08,08:28:24,121
376,25,27/08,09:49:27,1
377,25,27/08,10:17:15,1
378,17,27/08,11:18:04,12
379,17,27/08,12:20:39,5
380,17,27/08,12:35:42,5
381,25,27/08,12:43:05,1
382,25,27/08,12:48:42,386
383,25,27/08,13:00:21,67
384,25,27/08,13:21:59,12
385,25,27/08,13:43:29,1
386,25,27/08,14:04:48,11
387,17,27/08,14:07:51,1
388,25,28/08,06:25:04,4
389,25,28/08,07:46:10,10
390,25,28/08,09:48:42,1
391,17,28/08,12:46:09,23
392,25,28/08,18:13:52,20
393,46,28/08,18:25:13,118
394,17,29/08,08:05:57,1
