Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
5,17,30/05,08:13:33,9
6,17,30/05,08:29:31,1
7,25,30/05,11:52:14,763
8,25,30/05,12:56:42,205
9,25,30/05,13:07:22,5
10,23,30/05,13:05:22,320
11,23,30/05,13:18:25,4
12,23,30/05,20:27:14,132
13,17,30/05,20:30:32,63
14,17,30/05,20:36:58,1
15,17,30/05,21:03:36,1
16,17,30/05,21:14:38,3
17,17,30/05,21:21:22,256
18,23,30/05,23:09:16,1
19,17,30/05,22:46:51,1982
20,17,30/05,23:25:51,3331
21,17,31/05,00:26:58,1
22,17,31/05,00:32:01,2110
23,17,31/05,01:11:55,483
24,17,31/05,01:26:40,1
25,25,31/05,01:46:14,59
26,17,31/05,01:31:02,1452
27,17,31/05,02:07:42,1
28,17,31/05,02:16:49,846
29,17,31/05,02:35:45,1
30,25,31/05,02:38:48,104
31,17,31/05,02:48:13,735
32,23,31/05,03:34:58,6
33,17,31/05,03:05:01,1826
34,23,31/05,03:41:19,167
35,17,31/05,03:40:45,4106
36,17,31/05,05:10:52,26
37,23,31/05,05:19:29,1
38,23,31/05,05:28:50,107
39,23,31/05,05:37:06,284
40,25,31/05,04:49:13,3753
41,23,31/05,05:48:36,364
42,25,31/05,05:56:06,166
43,17,31/05,06:06:24,164
44,23,31/05,06:11:30,2
45,25,31/05,06:21:00,340
46,17,31/05,06:22:48,236
47,17,31/05,07:02:09,3
48,25,31/05,07:02:50,1
49,23,31/05,07:25:28,1
50,17,31/05,07:30:10,1
51,17,31/05,07:39:14,501
52,25,31/05,07:37:49,1255
53,38,31/05,11:01:44,31
54,38,31/05,11:29:07,1
55,23,31/05,11:32:21,59
56,23,31/05,11:40:15,103
57,23,31/05,11:49:44,2
58,25,31/05,12:05:18,14
59,23,31/05,12:03:46,155
60,38,31/05,12:05:13,258
61,38,31/05,12:36:28,863
62,38,31/05,12:56:07,32
63,38,31/05,13:01:59,17
64,23,31/05,12:36:31,1596
65,25,31/05,12:36:40,2443
66,38,31/05,13:12:09,333
67,25,31/05,13:26:51,4
68,23,31/05,13:17:04,950
69,25,31/05,13:50:43,1
70,23,31/05,13:37:45,2767
71,25,31/05,13:55:38,1698
72,23,31/05,14:35:33,1
73,25,31/05,14:34:57,717
74,23,31/05,14:53:45,17
75,25,31/05,14:51:46,901
76,23,31/05,15:07:26,378
77,17,31/05,15:28:36,100
78,23,31/05,15:19:20,794
79,25,31/05,15:28:21,361
80,17,31/05,16:04:36,198
81,25,31/05,15:55:24,810
82,38,31/05,16:17:32,1
83,17,31/05,16:14:21,221
84,25,31/05,16:21:24,925
85,17,31/05,16:23:16,1009
86,17,31/05,16:52:35,80
87,25,31/05,17:14:02,13
88,25,31/05,17:23:33,1
89,17,31/05,17:10:00,869
90,17,31/05,17:31:31,1
91,25,31/05,17:31:25,16
92,25,31/05,17:40:18,483
93,17,31/05,18:23:59,284
94,17,31/05,19:07:14,1
95,25,31/05,19:08:14,26
96,38,01/06,05:56:03,1
97,38,01/06,06:13:37,2
98,25,01/06,06:14:27,1564
99,25,01/06,06:47:35,191
100,38,01/06,08:19:39,1
101,17,01/06,08:22:41,42
102,25,01/06,08:23:26,834
103,17,01/06,08:30:43,401
104,17,01/06,08:42:31,66
105,23,01/06,08:48:55,1
106,23,01/06,09:10:31,13
107,25,01/06,09:42:06,7
108,25,01/06,09:55:16,1
109,17,01/06,09:44:13,1417
110,25,01/06,12:57:18,48
111,25,01/06,13:57:32,962
112,25,01/06,14:19:51,373
113,25,01/06,14:37:50,79
114,25,01/06,14:43:40,16
115,38,01/06,17:38:50,83
116,23,01/06,17:37:27,510
117,17,01/06,17:47:58,345
118,25,01/06,17:55:50,1
119,25,01/06,18:03:08,11
120,38,01/06,18:03:38,3
121,23,01/06,18:04:02,141
122,17,01/06,18:26:50,1
123,23,02/06,10:57:05,38
124,17,02/06,11:09:23,395
125,17,02/06,11:21:41,370
126,25,02/06,11:34:59,47
127,17,02/06,14:17:38,129
128,38,02/06,14:21:40,88
129,25,02/06,14:15:57,1036
130,38,02/06,14:28:58,270
131,38,02/06,14:42:36,1
132,38,02/06,15:15:24,751
133,25,02/06,15:06:58,1398
134,25,02/06,15:46:35,198
135,17,02/06,18:50:25,416
136,17,02/06,19:05:20,494
137,17,02/06,19:22:21,14
138,23,02/06,19:36:38,8
139,17,02/06,19:46:31,17
140,38,02/06,19:46:52,6
141,23,02/06,22:06:35,517
142,25,02/06,22:20:21,32
143,38,03/06,07:39:36,98
144,23,03/06,09:05:36,209
145,23,03/06,09:13:37,1
146,23,03/06,09:18:12,360
147,23,03/06,09:30:13,1
148,23,03/06,09:36:23,709
149,23,03/06,09:54:28,69
150,23,03/06,10:00:04,1
151,23,03/06,10:10:31,1
152,38,03/06,10:23:11,56
153,25,03/06,11:36:50,91
154,17,03/06,11:32:46,561
155,38,03/06,17:54:00,4
156,38,03/06,18:08:20,11
157,38,03/06,18:16:05,15
158,38,03/06,18:37:40,125
159,38,03/06,19:49:48,1
160,25,04/06,09:00:43,1
161,25,04/06,09:23:51,19
162,25,04/06,09:44:02,305
163,17,04/06,09:37:54,680
164,23,04/06,09:54:07,628
165,25,04/06,10:10:14,247
166,23,04/06,10:10:37,793
167,17,04/06,10:10:30,1015
168,17,04/06,10:40:11,1
169,38,04/06,12:31:44,5497
170,38,04/06,14:09:07,375
171,25,04/06,14:19:20,14
172,38,04/06,16:55:05,1
173,25,04/06,17:00:46,521
174,25,04/06,17:43:58,230
175,17,04/06,18:10:22,1
176,17,04/06,18:36:20,65
177,17,04/06,18:43:32,1
178,25,05/06,08:20:07,7
179,25,05/06,08:42:28,293
180,25,05/06,08:52:47,27
181,17,05/06,09:24:05,1
182,25,05/06,09:34:05,158
183,17,05/06,09:34:15,243
184,38,05/06,09:34:31,582
185,17,05/06,09:44:19,666
186,38,05/06,13:44:23,705
187,17,05/06,13:44:01,3990
188,17,05/06,15:17:05,1
189,17,05/06,15:22:28,331
190,17,05/06,15:32:33,436
191,17,05/06,15:44:33,588
192,17,05/06,16:25:15,444
193,17,05/06,16:41:20,13
194,17,05/06,16:47:30,80
195,25,05/06,16:38:59,1057
196,17,05/06,16:55:44,813
197,25,05/06,17:24:06,81
198,17,05/06,17:14:03,1075
199,25,05/06,17:44:25,1
200,25,05/06,18:02:45,157
201,25,05/06,18:50:03,7
202,25,05/06,18:55:22,261
203,25,05/06,21:24:45,358
204,25,05/06,21:43:26,1233
205,25,05/06,22:15:42,831
206,25,05/06,22:41:32,9
207,25,05/06,23:04:21,128
208,25,05/06,23:16:37,38
209,25,05/06,23:27:26,227
210,25,05/06,23:39:22,1
211,25,05/06,23:52:46,1
212,25,06/06,00:09:55,7
213,25,06/06,00:21:27,129
214,25,06/06,00:30:18,181
215,25,06/06,00:41:29,11
216,25,06/06,00:46:15,187
217,25,06/06,01:39:58,413
218,25,06/06,02:20:34,1
219,25,06/06,02:26:01,1
220,25,06/06,02:41:11,4136
221,25,06/06,03:57:31,2229
222,25,06/06,04:39:05,1
223,25,06/06,04:43:45,392
224,25,06/06,04:56:03,61
225,25,06/06,05:08:39,1
226,25,06/06,05:25:26,1
227,25,06/06,06:09:31,514
228,25,06/06,06:26:14,277
229,25,06/06,06:36:16,869
230,25,06/06,07:21:15,79
231,38,06/06,07:30:27,1
232,38,06/06,07:36:37,8
233,38,06/06,07:52:14,1
