Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,7,18/04,13:25:10,171
5,38,18/04,13:27:53,22
6,17,22/04,07:08:10,174
7,17,22/04,07:34:25,5
8,17,22/04,08:51:19,77
9,17,22/04,09:01:43,235
10,17,22/04,09:14:42,1
11,17,22/04,09:22:13,1099
12,17,22/04,11:22:17,383
13,17,22/04,12:48:27,5
14,17,22/04,14:12:45,213
15,17,22/04,14:44:09,454
16,17,22/04,15:12:34,1
17,17,22/04,15:18:20,1
18,17,22/04,17:52:14,91
19,17,22/04,18:14:27,5
20,17,23/04,10:14:18,49
21,17,23/04,10:35:52,110
22,17,23/04,13:38:46,1
23,17,23/04,17:04:38,1
24,17,23/04,17:35:06,198
25,17,23/04,18:31:31,32
26,17,23/04,19:01:19,5
27,17,23/04,19:25:30,319
28,17,23/04,20:03:20,457
29,17,23/04,20:49:28,156
30,17,23/04,21:06:35,1465
31,17,23/04,22:02:08,1
32,17,23/04,22:12:08,135
33,17,23/04,22:57:36,1
34,17,23/04,23:20:59,16
35,17,23/04,23:58:58,369
36,17,24/04,01:43:15,655
37,17,24/04,01:59:30,93
38,17,24/04,02:07:13,223
39,17,24/04,02:35:19,3331
40,17,24/04,03:47:52,1
41,17,24/04,03:56:58,68
42,17,24/04,04:27:46,681
43,17,24/04,04:49:16,1178
44,17,24/04,05:32:13,586
45,17,24/04,05:50:55,69
46,17,24/04,06:45:25,1
47,17,24/04,06:51:02,1
48,17,24/04,07:29:26,1
49,17,24/04,08:17:08,72
50,17,24/04,09:56:10,91
51,17,24/04,10:04:07,35
52,17,24/04,11:31:42,6
53,17,24/04,11:44:48,14
54,17,24/04,12:39:17,279
55,17,24/04,13:27:09,66
56,17,24/04,14:01:41,81
57,17,24/04,14:25:09,318
58,17,24/04,18:53:17,237
59,17,24/04,19:03:44,6545
60,17,24/04,20:58:03,341
61,17,24/04,21:08:41,2714
62,17,24/04,22:03:42,543
63,17,24/04,22:19:52,1
64,17,24/04,22:25:11,347
65,17,24/04,22:35:59,1
66,17,24/04,22:43:31,1
67,17,24/04,22:49:00,2254
68,17,25/04,00:09:33,1
69,17,25/04,00:15:10,1
70,17,25/04,00:19:49,1
71,17,25/04,00:26:48,1
72,17,25/04,00:33:56,35
73,17,25/04,00:39:14,1
74,17,25/04,03:12:38,1
75,17,25/04,03:22:43,1
76,17,25/04,03:48:39,159
77,17,25/04,04:02:19,1
78,17,25/04,04:07:12,9
79,17,25/04,04:16:10,1
80,17,25/04,04:29:45,265
81,17,25/04,05:29:12,1
82,17,25/04,05:59:58,1
83,17,25/04,06:52:22,190
84,17,25/04,07:08:38,1
85,17,25/04,07:13:05,11
86,17,25/04,07:17:39,373
87,17,25/04,08:33:55,104
88,17,25/04,09:27:46,41
89,17,25/04,10:16:25,1
90,17,25/04,13:48:19,381
91,17,25/04,14:06:35,1
92,17,25/04,17:03:11,263
93,17,25/04,17:21:34,987
94,17,25/04,18:17:18,1
95,17,25/04,18:30:36,1
96,17,25/04,18:56:41,66
97,17,26/04,06:35:26,31
98,17,26/04,07:54:24,17
99,17,26/04,09:22:49,12
100,17,26/04,22:23:36,986
101,17,26/04,22:45:02,1
102,17,26/04,22:52:21,1
103,17,26/04,23:01:02,1
104,17,26/04,23:05:56,1
105,17,26/04,23:10:32,669
106,17,26/04,23:42:47,372
107,17,27/04,00:19:20,152
108,17,27/04,00:34:02,5
109,17,27/04,00:40:16,671
110,17,27/04,11:24:42,1
111,17,27/04,11:31:17,56
112,17,27/04,12:02:53,202
113,17,27/04,12:13:55,107
114,17,27/04,13:25:12,262
115,17,27/04,13:37:38,1
116,17,27/04,13:52:39,1328
117,17,27/04,14:19:45,1
118,17,27/04,14:47:23,42
119,17,27/04,15:18:06,184
120,17,27/04,16:35:49,1
121,17,27/04,17:41:37,16
122,17,28/04,03:07:00,9
123,17,28/04,03:17:01,806
124,17,28/04,03:35:43,5319
125,17,28/04,05:10:14,703
126,17,28/04,05:59:22,13
127,17,28/04,06:16:39,23
128,17,28/04,06:27:54,409
129,17,28/04,06:39:43,1
130,17,28/04,07:25:22,289
131,17,28/04,10:18:13,251
132,17,28/04,10:31:06,21
133,17,28/04,10:51:18,62
134,17,28/04,11:07:29,29
135,17,28/04,12:03:45,50
136,17,28/04,16:14:27,1
137,17,28/04,17:36:55,59
138,17,28/04,17:43:20,143
139,17,28/04,17:51:13,383
140,17,28/04,19:33:30,13
141,17,28/04,20:15:35,1
142,17,28/04,20:20:05,16
143,17,28/04,20:27:12,1
144,17,28/04,20:32:29,1
145,17,28/04,20:38:02,1
146,17,28/04,20:47:23,388
147,17,28/04,21:30:16,95
148,17,28/04,21:37:30,1
149,17,28/04,22:18:25,1
150,17,28/04,22:23:23,4
151,17,28/04,22:32:38,11
152,17,29/04,01:32:55,1
153,17,29/04,01:42:25,198
154,17,29/04,02:04:44,181
155,17,29/04,02:19:55,1
156,17,29/04,03:35:17,295
157,17,29/04,03:47:14,99
158,17,29/04,03:55:00,1778
159,17,29/04,04:30:05,1897
160,17,29/04,06:28:31,25
161,17,29/04,07:33:39,179
162,17,29/04,07:41:07,141
163,17,29/04,08:39:42,1
164,17,29/04,08:44:42,223
165,17,29/04,08:58:08,2
166,17,29/04,09:12:58,632
167,17,29/04,10:44:59,212
168,17,29/04,10:55:43,77
169,17,29/04,11:04:06,882
170,17,29/04,11:25:42,41
171,17,29/04,11:31:52,1
172,17,29/04,11:40:20,558
173,17,29/04,11:56:42,150
174,17,29/04,12:10:05,31
175,17,29/04,15:21:02,883
176,17,29/04,16:24:58,59
177,17,29/04,18:32:44,65
178,17,30/04,11:18:48,294
179,17,30/04,15:53:46,3
180,17,01/05,04:31:11,75
181,25,01/05,05:53:53,1
182,17,01/05,05:53:57,115
183,17,01/05,06:07:02,1
184,17,01/05,06:12:11,84
185,25,01/05,06:13:51,1181
186,25,01/05,07:02:15,135
187,25,01/05,07:24:05,250
188,25,01/05,07:49:04,233
189,17,01/05,07:55:39,363
190,25,01/05,08:02:13,668
191,17,01/05,08:32:31,21
192,17,01/05,10:17:56,1
193,17,01/05,10:25:09,32
194,17,01/05,10:30:48,499
195,17,01/05,10:43:42,1
196,17,01/05,14:51:02,117
197,17,01/05,14:57:54,1060
198,17,01/05,15:29:58,241
199,17,01/05,15:47:27,21
200,17,01/05,15:54:29,1141
201,25,01/05,18:19:39,59
202,17,01/05,19:21:34,329
203,17,01/05,19:56:56,97
204,17,01/05,20:12:15,19
205,17,01/05,20:29:43,55
206,17,01/05,20:35:07,8
207,17,01/05,20:51:57,26
208,17,01/05,21:10:18,14
209,17,02/05,05:43:35,82
210,17,02/05,08:34:31,945
211,17,02/05,09:21:29,590
212,17,02/05,09:39:31,1
213,17,02/05,09:44:31,1
214,17,02/05,09:49:32,1
215,17,02/05,09:54:55,1
216,17,02/05,10:00:53,21
217,17,02/05,10:07:28,837
218,17,02/05,10:50:57,86
219,25,02/05,10:51:51,247
220,17,02/05,11:19:12,101
221,25,02/05,11:18:32,345
222,25,02/05,12:43:17,72
223,25,02/05,12:50:31,23
224,17,02/05,12:47:12,697
225,17,02/05,13:03:27,139
226,25,02/05,13:35:30,247
227,25,02/05,13:46:26,260
228,17,02/05,13:57:05,161
229,17,02/05,14:17:15,1
230,17,02/05,14:27:11,1
231,17,02/05,14:35:10,1
232,25,02/05,13:57:31,2519
233,25,02/05,15:16:21,25
234,17,02/05,15:26:11,17
235,25,02/05,15:44:43,2
236,17,02/05,15:44:20,1121
237,25,02/05,18:06:39,1
238,25,03/05,11:24:57,35
239,25,03/05,11:31:21,86
240,17,03/05,11:49:59,171
241,25,03/05,12:49:42,6
242,17,03/05,13:54:26,135
243,17,03/05,17:00:39,431
244,25,03/05,19:38:47,187
245,17,03/05,19:36:27,582
246,25,03/05,19:57:21,2
247,17,03/05,20:06:21,468
248,17,03/05,20:31:56,1
249,17,03/05,20:36:51,7
250,17,03/05,20:42:00,1067
251,17,03/05,21:14:07,135
252,17,03/05,21:35:37,6
253,17,03/05,22:09:35,210
254,25,03/05,20:01:42,8355
255,25,03/05,22:26:01,115
256,25,03/05,22:34:03,1
257,25,03/05,22:39:07,1
258,25,03/05,22:48:16,1
259,25,03/05,22:52:43,761
260,25,03/05,23:53:44,58
261,25,04/05,00:00:29,324
262,17,03/05,22:18:57,6442
263,17,04/05,00:21:28,113
264,25,04/05,00:22:28,57
265,17,04/05,02:14:27,2600
266,25,04/05,03:03:54,8
267,17,04/05,03:07:07,74
268,25,04/05,03:11:26,285
269,17,04/05,04:42:44,56
270,25,04/05,04:46:45,40
271,25,04/05,05:23:33,276
272,25,04/05,05:50:44,1
273,25,04/05,05:58:58,4034
274,25,04/05,07:19:37,46
275,17,04/05,07:27:11,1152
276,25,04/05,07:52:04,950
277,25,04/05,08:33:17,295
278,25,04/05,09:03:05,10
279,25,04/05,09:08:06,46
280,17,04/05,09:31:51,1367
281,25,04/05,10:08:22,59
282,17,04/05,10:09:39,250
283,25,04/05,10:14:46,86
284,25,04/05,10:43:24,5
285,17,04/05,10:48:31,323
286,17,04/05,11:05:58,4
287,25,04/05,22:13:36,1
288,25,04/05,22:18:28,1
289,25,04/05,22:44:39,4
290,25,05/05,06:01:10,1
291,25,05/05,06:05:59,1754
292,25,05/05,06:41:14,13
293,25,05/05,06:49:36,93
294,25,05/05,06:58:52,221
295,17,05/05,06:58:45,244
296,25,05/05,07:09:48,265
297,25,05/05,07:31:54,12
298,25,05/05,08:55:38,1
299,25,05/05,09:08:16,94
300,25,05/05,10:19:13,592
301,25,05/05,10:49:47,128
302,25,05/05,11:05:55,3
303,25,05/05,11:12:29,1
304,25,05/05,11:18:54,1
305,25,05/05,15:40:03,159
306,17,05/05,16:26:28,8
307,25,05/05,16:36:55,1
308,17,05/05,19:38:14,234
309,25,05/05,19:45:48,1
310,17,05/05,20:03:21,1
311,17,05/05,20:17:34,263
312,17,05/05,20:37:30,224
313,17,05/05,20:53:03,25
314,17,05/05,21:13:20,972
315,17,05/05,22:03:46,139
316,17,05/05,22:14:15,921
317,25,05/05,23:29:11,12
318,17,05/05,23:47:28,88
319,17,06/05,01:01:02,1
320,17,06/05,01:16:01,123
321,17,06/05,01:28:45,86
322,25,06/05,02:47:05,653
323,17,06/05,02:47:33,1350
324,17,06/05,03:16:07,1
325,17,06/05,03:30:16,1
326,17,06/05,03:35:25,4
327,25,06/05,03:59:02,260
328,25,06/05,04:09:05,127
329,25,06/05,04:35:23,94
330,25,06/05,05:21:40,1
331,17,06/05,03:55:07,5422
332,17,06/05,05:31:05,396
333,25,06/05,05:58:00,168
334,25,06/05,06:05:54,296
335,17,06/05,06:14:40,37
336,25,06/05,11:19:42,10
337,17,06/05,14:47:22,13
338,25,06/05,15:19:36,117
339,17,06/05,17:42:08,36
340,25,06/05,17:49:26,16
341,17,06/05,17:55:02,1
342,17,06/05,18:49:04,190
343,25,06/05,19:07:20,1
344,25,06/05,19:37:05,55
345,17,06/05,19:43:23,126
346,17,06/05,20:54:06,289
347,17,06/05,21:08:31,1
348,17,06/05,21:13:28,1
349,17,06/05,21:18:30,1
350,17,06/05,21:27:17,1
351,17,06/05,21:36:06,29
352,17,06/05,22:10:59,59
353,25,06/05,22:42:34,1
354,17,07/05,05:40:26,26
