Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,15,30/04,10:33:00,291
6,15,30/04,10:44:04,45
7,17,30/04,19:34:17,612
8,17,30/04,19:57:26,274
9,17,30/04,20:06:44,846
10,17,30/04,20:27:33,382
11,17,30/04,20:39:09,740
12,17,30/04,20:58:58,59
13,17,30/04,21:04:46,536
14,17,30/04,21:18:44,178
15,17,30/04,21:27:37,1794
16,17,30/04,22:02:37,1
17,17,30/04,22:16:33,8
18,17,30/04,22:21:50,1
19,17,30/04,22:39:33,1
20,17,30/04,22:44:58,1
21,17,30/04,22:51:18,3423
22,17,30/04,23:56:38,4021
23,17,01/05,01:08:48,86
24,17,01/05,03:24:48,1
25,17,01/05,05:34:04,43
26,17,01/05,05:40:09,1699
27,23,01/05,06:13:23,1198
28,23,01/05,07:02:02,136
29,23,01/05,07:23:14,289
30,17,01/05,07:31:20,225
31,17,01/05,07:53:11,527
32,23,01/05,07:48:54,1765
33,17,01/05,12:34:51,371
34,23,01/05,17:48:05,1
35,23,01/05,18:19:26,56
36,17,02/05,08:05:52,377
37,17,02/05,10:34:12,6
38,23,02/05,10:50:43,1
39,17,02/05,10:41:33,647
40,23,02/05,10:55:06,40
41,17,02/05,11:19:04,83
42,23,02/05,11:18:16,344
43,17,02/05,11:47:05,52
44,17,02/05,12:22:58,274
45,17,02/05,12:33:26,1
46,23,02/05,12:43:03,70
47,17,02/05,12:50:25,2
48,23,02/05,12:50:40,2
49,17,02/05,13:06:22,759
50,17,02/05,13:25:02,1
51,17,02/05,13:32:20,170
52,23,02/05,13:35:16,3
53,23,02/05,13:47:35,167
54,17,02/05,13:56:37,46
55,17,02/05,14:09:17,1560
56,23,02/05,13:56:31,2714
57,23,02/05,15:16:02,26
58,17,02/05,15:43:39,66
59,23,02/05,15:44:44,4
60,17,02/05,16:17:03,203
61,17,02/05,16:59:27,255
62,23,02/05,18:05:37,73
63,17,03/05,06:20:31,7
64,23,03/05,11:06:17,3
65,23,03/05,11:24:42,33
66,23,03/05,11:31:06,87
67,17,03/05,11:54:44,1
68,23,03/05,12:49:21,10
69,17,03/05,18:59:20,169
70,17,03/05,19:07:54,1
71,23,03/05,19:38:54,96
72,23,03/05,19:50:36,1
73,17,03/05,19:39:24,7052
74,17,03/05,21:42:16,189
75,23,03/05,20:06:05,9195
76,23,03/05,22:44:58,1463
77,23,03/05,23:52:20,799
78,17,03/05,21:52:44,8214
79,23,04/05,00:22:13,53
80,17,04/05,00:15:12,1628
81,17,04/05,00:47:28,2162
82,17,04/05,01:33:33,424
83,23,04/05,02:13:21,1
84,17,04/05,01:45:37,4955
85,23,04/05,03:03:35,740
86,17,04/05,03:13:29,1604
87,17,04/05,03:45:50,246
88,17,04/05,03:55:17,1
89,17,04/05,04:00:27,1
90,17,04/05,04:06:16,1
