Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,37,15/05,10:29:55,6
5,7,16/05,19:10:16,40
6,7,16/05,19:16:23,1
7,7,18/05,18:54:38,1
8,7,19/05,01:00:28,1
9,7,19/05,02:59:16,32
10,33,20/05,09:13:22,73
11,2,20/05,09:16:22,1
12,2,22/05,18:29:46,120
13,2,22/05,19:28:36,1
14,2,22/05,20:05:13,181
15,29,23/05,08:30:42,1
16,7,23/05,10:18:29,1
17,7,24/05,09:47:39,202
18,14,25/05,10:47:12,99
19,7,25/05,10:49:56,1
20,7,25/05,10:54:58,4
21,7,26/05,19:40:51,40
22,2,27/05,11:45:00,1
23,7,27/05,19:31:49,209
24,14,28/05,08:57:29,55
25,7,28/05,19:08:06,159
26,7,29/05,07:57:11,422
27,7,29/05,19:09:07,1
28,44,30/05,08:03:18,1
29,7,30/05,08:57:39,1
30,7,30/05,14:19:18,86
31,2,02/06,14:07:08,10
32,7,03/06,08:42:40,12
33,14,03/06,10:05:39,1
34,14,03/06,10:10:07,30
35,2,04/06,13:04:19,1107
36,14,05/06,18:10:52,1
37,14,08/06,07:52:30,5
38,34,08/06,08:04:24,189
39,2,08/06,08:08:44,77
40,34,08/06,08:17:18,216
41,14,08/06,17:10:20,3
42,14,09/06,10:42:21,1
43,34,10/06,17:24:01,124
44,34,10/06,17:36:59,1
45,2,14/06,08:00:50,98
46,7,14/06,15:39:17,65
47,7,15/06,08:18:56,1
48,2,16/06,17:20:16,115
49,7,17/06,09:07:11,10
50,50,18/06,09:02:33,1
51,14,20/06,08:54:33,1875
52,14,20/06,09:36:07,1102
53,14,20/06,09:59:33,154
54,14,20/06,10:11:33,9
55,14,20/06,10:18:17,1024
56,7,20/06,18:55:08,1
57,7,20/06,18:59:46,149
58,7,20/06,19:07:21,1
59,2,22/06,08:05:35,110
60,50,22/06,09:19:08,223
61,14,22/06,09:42:38,9
62,2,25/06,20:03:08,1
63,7,26/06,13:00:36,1
64,27,28/06,09:37:28,1
65,7,30/06,14:41:56,154
66,14,30/06,19:13:48,1
67,7,30/06,19:38:35,61
68,2,30/06,19:40:41,103
69,39,01/07,09:35:39,245
70,27,01/07,10:18:23,4
71,14,01/07,19:13:04,67
72,24,02/07,11:45:09,1
73,33,02/07,12:21:01,15
74,14,02/07,12:42:52,8
75,2,02/07,22:51:16,2
76,14,02/07,22:51:18,19
77,7,03/07,18:32:46,6
78,2,04/07,06:36:07,1
79,7,04/07,13:56:40,1
80,7,04/07,16:04:40,6
81,50,06/07,10:51:21,13
82,17,08/07,09:15:58,7
83,25,08/07,09:22:38,1
84,17,08/07,09:26:40,77
85,25,08/07,09:45:51,123
86,25,08/07,11:46:15,9
87,25,08/07,11:58:30,3
88,23,08/07,12:02:01,68
89,25,08/07,12:29:47,6
90,29,08/07,17:29:10,30
91,29,08/07,17:36:06,609
92,2,08/07,21:10:21,478
93,25,09/07,08:46:36,13
94,25,09/07,09:21:00,198
95,17,09/07,13:00:19,1
96,17,09/07,21:01:33,337
97,17,09/07,21:11:53,68
98,17,09/07,21:36:51,67
99,17,09/07,22:14:26,47
100,17,09/07,22:46:58,507
101,17,09/07,23:02:22,14
102,25,09/07,23:08:08,93
103,17,09/07,23:07:24,191
104,17,10/07,02:20:33,51
105,17,10/07,02:26:41,8
106,17,10/07,02:33:20,153
107,17,10/07,02:43:20,10
108,17,10/07,03:14:56,56
109,17,10/07,06:58:11,9
110,25,10/07,06:58:23,13
111,25,10/07,10:01:38,46
112,25,10/07,12:14:20,189
113,25,10/07,13:09:27,35
114,25,10/07,14:31:11,64
115,25,11/07,08:20:01,25
116,50,12/07,11:52:02,1
117,50,14/07,11:11:54,41
118,17,15/07,08:07:11,409
119,2,15/07,17:37:06,1
120,2,15/07,19:57:41,1
121,7,15/07,20:10:49,1
122,7,15/07,21:42:18,43
123,2,15/07,23:58:28,2
124,2,16/07,02:00:37,97
125,2,16/07,13:38:29,1
126,2,16/07,16:19:43,1
127,14,17/07,08:09:54,1
128,2,17/07,16:16:26,8
129,2,17/07,16:58:01,1546
130,2,17/07,19:17:27,1
131,7,17/07,19:29:36,1
132,7,18/07,01:47:30,1
133,7,18/07,03:20:41,1
134,7,18/07,03:55:56,1
135,7,18/07,04:09:57,71
136,2,18/07,05:33:03,1
137,2,18/07,16:32:15,1
138,7,18/07,17:26:13,1
139,7,18/07,17:32:15,1
140,7,18/07,18:22:03,9
141,27,18/07,18:58:27,292
142,29,18/07,19:03:21,3
143,2,18/07,23:07:22,283
144,27,20/07,06:02:39,41
145,29,20/07,09:41:29,4
146,2,20/07,17:30:19,6
147,7,20/07,17:54:43,16
148,8,21/07,06:10:44,430
149,21,21/07,08:58:05,107
150,2,21/07,12:29:47,1
151,2,21/07,12:40:38,1
152,29,21/07,15:25:53,1
153,2,21/07,21:27:42,1
154,2,21/07,22:09:39,19
155,2,22/07,01:34:28,31
156,2,22/07,08:42:42,1
157,2,22/07,16:18:17,6
158,7,22/07,20:57:14,8
159,2,22/07,23:02:03,1481
160,2,23/07,17:47:44,34
161,2,23/07,18:46:55,3
162,2,23/07,21:05:25,1
163,7,24/07,00:09:02,1
164,2,24/07,00:19:47,1
165,7,24/07,03:24:37,1
166,2,24/07,05:00:11,76
167,2,24/07,05:06:22,1
168,2,24/07,05:18:31,1
169,2,24/07,07:51:00,11
170,7,24/07,08:16:01,1
171,2,24/07,08:22:48,124
172,2,24/07,09:04:04,1
173,2,24/07,10:48:35,19
174,2,24/07,13:06:03,1
175,2,25/07,03:38:25,1
176,50,25/07,08:01:13,52
177,23,25/07,14:40:32,103
178,23,25/07,14:46:38,72
179,23,25/07,14:52:48,262
180,2,25/07,20:49:38,118
181,2,25/07,21:57:16,10
182,2,25/07,23:49:47,2
183,129,26/07,00:49:42,1
184,2,26/07,00:49:13,58
185,2,26/07,09:16:36,10
186,23,27/07,03:36:39,7
187,21,29/07,09:02:35,6
188,21,31/07,07:48:58,345
189,2,01/08,10:09:59,17
190,7,01/08,21:09:22,1
191,50,02/08,08:02:26,1
192,2,03/08,09:17:20,10
193,7,03/08,09:21:14,67
194,7,04/08,05:12:52,19
195,7,04/08,05:54:32,4621
196,7,04/08,07:16:44,74
197,7,04/08,07:54:40,123
198,7,04/08,08:07:52,12
199,7,04/08,08:14:59,1
200,50,05/08,07:41:14,16
201,7,06/08,11:10:38,65
202,7,06/08,13:00:29,15
203,7,06/08,13:11:27,1
204,7,06/08,13:16:16,1
205,7,06/08,13:21:21,150
206,7,06/08,14:16:30,141
207,7,06/08,14:50:12,1
208,7,06/08,14:54:56,457
209,7,06/08,15:13:12,1
210,7,06/08,15:32:26,1
211,7,06/08,18:57:19,82
212,7,06/08,19:08:10,1
213,7,06/08,19:22:44,1
214,7,07/08,02:07:22,1
215,7,07/08,04:18:53,1
216,7,07/08,05:24:04,175
217,7,07/08,07:15:10,120
218,7,07/08,07:21:50,185
219,7,07/08,07:32:33,3
220,7,07/08,18:22:01,267
221,7,07/08,18:31:18,42
222,7,08/08,03:21:25,1
223,7,08/08,03:54:39,1
224,7,08/08,03:59:15,230
225,7,08/08,04:12:09,1
226,7,08/08,04:18:51,5
227,7,08/08,04:23:43,24
228,7,08/08,04:34:59,3
229,7,08/08,04:46:44,26
230,7,08/08,04:52:13,1
231,7,08/08,04:57:10,425
232,7,08/08,05:09:33,490
233,7,08/08,05:23:01,342
234,7,08/08,05:34:17,418
235,7,08/08,05:45:59,1
236,7,08/08,05:50:44,1
237,7,08/08,05:58:39,32
238,7,08/08,06:06:03,248
239,7,08/08,07:02:02,1
240,7,08/08,07:09:03,6
241,7,08/08,07:44:15,1
242,7,08/08,09:09:04,1
243,7,08/08,10:57:52,1
244,50,08/08,11:00:25,33
245,7,08/08,11:04:01,25
246,7,08/08,16:01:36,4
247,7,08/08,16:05:59,28
248,7,08/08,16:13:28,301
249,7,08/08,18:50:00,46
250,7,08/08,19:02:29,23
251,7,08/08,19:20:00,149
252,7,09/08,00:06:58,150
253,7,09/08,07:12:09,194
254,7,09/08,08:13:56,323
255,7,09/08,08:42:47,2
256,7,09/08,08:51:21,453
257,7,09/08,09:27:16,1
258,7,09/08,09:38:05,50
259,7,09/08,09:44:14,1
260,7,09/08,09:53:34,425
261,7,09/08,10:22:46,4
262,7,09/08,11:35:57,138
263,7,09/08,11:46:25,132
264,7,09/08,14:17:17,2
265,7,09/08,14:33:11,61
266,7,09/08,17:00:04,31
267,7,09/08,17:07:10,27
268,7,09/08,17:47:06,1
269,7,09/08,17:52:01,1
270,7,09/08,18:02:37,344
271,7,09/08,18:19:52,201
272,7,09/08,18:30:23,215
273,7,09/08,21:12:41,1
274,7,10/08,05:53:00,1
275,7,10/08,06:14:56,257
276,7,10/08,07:48:21,18
277,7,10/08,07:53:41,185
278,7,10/08,08:01:35,187
279,7,10/08,19:19:13,93
280,7,10/08,19:42:34,175
281,7,10/08,20:16:19,1
282,7,10/08,20:34:51,1
283,7,10/08,21:00:37,1
284,7,10/08,21:20:56,1
285,7,10/08,21:47:24,56
286,7,10/08,22:54:49,1
287,7,10/08,23:01:10,20
288,7,11/08,04:01:03,181
289,7,11/08,04:08:48,899
290,7,11/08,04:35:24,676
291,7,11/08,06:07:20,1
292,7,11/08,08:04:35,42
293,7,11/08,08:11:18,1
294,7,11/08,08:30:02,12
295,7,11/08,08:34:43,1
296,7,11/08,08:39:11,419
297,7,11/08,08:55:14,250
298,7,11/08,09:26:27,196
299,7,11/08,09:35:21,119
300,7,11/08,10:20:51,189
301,50,11/08,10:31:15,1
302,7,11/08,10:31:13,12
303,7,11/08,12:11:59,429
304,7,11/08,13:01:22,1
305,7,11/08,13:10:04,35
306,7,11/08,13:16:33,6
307,7,11/08,13:23:52,1
308,7,11/08,13:48:27,288
309,7,11/08,14:04:10,11
310,7,11/08,14:58:42,869
311,7,11/08,15:25:39,2
312,7,11/08,15:31:13,1
313,7,11/08,15:35:50,768
314,7,11/08,17:35:43,34
315,7,11/08,18:27:25,22
316,7,11/08,18:42:04,2
317,7,11/08,19:49:21,8
318,7,11/08,20:08:55,1
319,7,11/08,21:29:10,1
320,7,12/08,03:44:59,1
321,7,12/08,04:01:47,293
322,7,12/08,07:13:46,3
323,7,12/08,09:48:06,1
324,7,12/08,10:39:05,13
325,7,12/08,10:59:40,1
326,7,12/08,11:23:20,463
327,7,12/08,12:15:43,361
328,7,12/08,12:27:39,156
329,7,12/08,14:59:22,5
330,7,12/08,16:01:21,32
331,7,12/08,17:28:41,225
332,7,12/08,17:50:54,72
333,7,12/08,17:56:58,5
334,7,12/08,18:05:56,76
335,7,12/08,18:20:31,416
336,7,12/08,18:56:55,66
337,7,12/08,19:34:05,505
338,7,12/08,19:47:24,1
339,7,12/08,19:51:58,25
340,7,12/08,20:04:21,1
341,7,12/08,20:08:45,174
342,7,12/08,20:17:22,1
343,7,12/08,21:58:47,81
344,7,12/08,22:06:35,10
345,7,12/08,22:15:24,1
346,7,12/08,23:47:45,4
