Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,8,18/04,17:50:43,117
4,8,18/04,18:41:31,3
5,8,18/04,19:04:06,1419
6,8,18/04,19:35:35,8
7,8,18/04,19:40:37,186
8,8,18/04,19:50:16,1
9,8,18/04,19:55:56,1
10,8,18/04,20:02:03,11197
11,8,18/04,23:59:17,1
12,8,19/04,00:37:45,1
13,8,19/04,02:16:01,790
14,8,19/04,02:34:46,1
15,8,19/04,03:37:55,523
16,8,19/04,03:52:07,49
17,8,19/04,04:01:04,2
18,8,19/04,04:06:25,3
19,8,19/04,04:27:57,15
20,8,19/04,14:05:55,690
21,8,19/04,17:39:24,208
22,8,19/04,20:51:37,273
23,8,19/04,21:04:13,1
24,8,19/04,22:58:48,630
25,8,20/04,01:19:27,1
26,8,20/04,03:28:55,387
27,8,20/04,03:43:08,6
28,8,20/04,03:52:48,13
29,8,20/04,04:00:36,5
30,8,20/04,04:14:33,201
31,8,20/04,04:23:00,1001
32,8,20/04,04:44:23,1
33,8,20/04,05:12:20,15
34,8,20/04,05:17:20,47
35,8,20/04,05:23:07,48
36,8,20/04,05:48:32,20
37,8,20/04,06:10:38,137
38,8,20/04,19:48:10,14
39,27,20/04,20:24:27,1
40,27,20/04,21:47:23,1363
41,27,20/04,22:16:36,848
42,27,20/04,22:36:29,891
43,27,20/04,22:56:32,1
44,27,20/04,23:01:51,334
45,27,20/04,23:14:08,1
46,27,20/04,23:38:45,124
47,8,21/04,02:14:01,95
48,27,21/04,02:17:58,193
49,8,21/04,05:20:06,750
50,27,21/04,05:23:11,594
51,8,21/04,06:10:37,29
52,8,21/04,14:10:45,1
53,8,21/04,15:27:23,84
54,8,21/04,17:49:03,1
55,27,21/04,17:52:16,242
56,8,21/04,17:58:05,110
57,27,21/04,18:10:33,75
58,27,21/04,18:19:51,229
59,27,21/04,21:34:45,60
60,8,21/04,21:17:44,2287
61,8,21/04,23:20:53,5
62,8,22/04,01:13:56,356
63,8,22/04,01:53:47,1
64,27,22/04,01:47:14,476
65,8,22/04,02:02:14,96
66,27,22/04,02:00:42,245
67,27,22/04,02:50:04,1
68,8,22/04,03:45:00,98
69,8,22/04,04:33:56,224
70,8,22/04,04:43:08,1060
71,27,22/04,05:01:57,249
72,8,22/04,05:27:52,3
73,27,22/04,05:28:16,82
74,8,22/04,05:57:33,244
75,27,22/04,06:02:01,454
76,8,22/04,06:11:00,61
77,8,22/04,06:18:20,4
78,27,22/04,06:18:37,1
79,27,22/04,18:56:18,1
80,27,22/04,22:27:32,33
81,8,23/04,06:42:02,52
82,27,23/04,09:44:26,51
83,27,23/04,10:04:05,173
84,27,23/04,10:22:33,49
85,27,23/04,11:52:00,96
86,8,23/04,16:34:58,21
