Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,7,18/04,14:07:18,2449
4,18,18/04,14:48:54,1
5,38,18/04,14:07:13,2513
6,21,18/04,14:49:44,1
7,4,18/04,14:50:00,1
8,24,18/04,12:43:16,7743
9,22,18/04,14:55:21,1
10,6,18/04,14:55:38,1
11,150,18/04,17:48:55,1
12,184,18/04,18:30:56,1
13,37,18/04,17:02:15,5971
14,37,18/04,18:46:29,787
15,42,18/04,20:17:32,2
16,41,18/04,20:19:12,5
17,44,18/04,20:21:56,17
18,92,18/04,20:41:37,1
19,184,18/04,21:11:45,1
20,92,18/04,22:33:17,1
21,23,18/04,23:05:40,1
22,184,18/04,23:23:25,1
23,92,18/04,23:42:08,1
24,46,18/04,23:56:49,1
25,23,19/04,01:20:39,1
26,46,19/04,01:20:47,1
27,184,19/04,01:54:45,1
28,23,19/04,01:57:08,1
29,23,19/04,02:30:47,1
30,23,19/04,03:10:49,1
31,92,19/04,04:53:53,1
32,37,18/04,19:15:31,35135
33,11,18/04,14:54:46,65535
34,4,19/04,12:47:19,6666
35,18,19/04,12:47:06,6716
36,18,19/04,14:46:24,16
37,4,19/04,15:13:13,528
38,4,19/04,15:28:24,1
39,18,19/04,15:08:13,1406
40,18,19/04,15:37:23,241
41,46,19/04,15:48:38,1
42,46,19/04,15:59:27,1
43,23,19/04,16:03:10,1
44,18,19/04,15:46:25,1507
45,92,19/04,16:12:04,1
46,184,19/04,16:17:09,1
47,92,19/04,16:18:27,1
48,46,19/04,16:50:41,1
49,18,19/04,16:51:25,8
50,18,19/04,16:55:53,37
51,18,19/04,17:04:26,24
52,18,19/04,18:04:58,1
53,18,19/04,18:22:51,1
54,18,19/04,18:36:44,1
55,46,19/04,18:37:35,1
56,184,19/04,18:37:41,1
57,184,19/04,19:05:23,1
58,150,19/04,19:09:03,1
59,184,19/04,19:25:41,15
60,35,19/04,19:30:15,1
61,37,19/04,18:42:05,4898
62,92,19/04,20:22:20,1
63,35,19/04,20:23:39,1
64,46,19/04,20:48:56,1
65,150,19/04,21:12:48,1
66,46,19/04,21:14:44,1
67,75,19/04,22:02:35,1
68,35,19/04,23:02:48,1
69,70,19/04,23:56:57,1
70,70,20/04,00:07:50,1
71,70,20/04,00:16:32,71
72,35,20/04,00:42:19,1
73,46,20/04,00:48:40,1
74,150,20/04,00:49:38,1
75,92,20/04,00:56:05,1
76,75,20/04,01:03:15,1
