Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,8,19/04,10:52:03,107
5,8,19/04,16:22:43,1
6,8,19/04,16:32:39,21
7,8,19/04,16:45:20,1
8,8,20/04,16:04:42,199
9,42,20/04,16:48:11,8
10,34,21/04,00:51:26,587
11,34,21/04,01:06:29,724
12,42,21/04,07:37:21,39
13,42,21/04,15:40:51,40
14,8,21/04,17:08:31,1
15,27,21/04,17:38:50,22
16,21,23/04,17:59:16,49
17,42,24/04,18:11:40,1
18,29,25/04,10:33:54,748
19,42,25/04,18:15:50,1
20,42,25/04,18:39:02,23
21,42,26/04,08:49:03,15
22,42,26/04,09:16:01,37
23,42,29/04,11:04:22,12
24,42,29/04,16:30:57,92
25,42,30/04,16:34:16,17
26,42,01/05,10:18:19,2
27,42,02/05,10:52:35,1
28,42,02/05,10:59:24,4
29,42,03/05,08:28:33,106
30,42,03/05,08:44:21,1
31,42,03/05,10:15:41,33
32,27,04/05,16:51:07,52
33,34,06/05,09:25:47,1
34,42,07/05,09:19:08,28
35,7,10/05,17:58:15,1
36,29,11/05,08:14:35,141
37,11,14/05,11:12:10,1
38,11,17/05,14:02:21,969
39,11,17/05,14:45:28,1595
40,4,17/05,20:08:39,1
41,11,18/05,06:07:01,1
42,34,19/05,06:13:39,17
43,8,19/05,08:05:56,57
44,42,19/05,14:57:28,2
45,42,19/05,15:33:06,1
46,7,20/05,09:19:09,1
47,2,21/05,15:45:23,1
48,2,22/05,08:42:51,9
49,33,22/05,08:55:39,67
50,2,22/05,11:35:12,17
51,42,23/05,12:32:40,293
52,2,24/05,09:35:43,305
53,27,24/05,09:45:34,226
54,8,24/05,09:59:08,7
55,7,25/05,17:38:59,1
56,2,26/05,08:30:25,338
57,11,27/05,08:52:35,108
58,42,27/05,18:18:44,246
59,42,28/05,08:50:22,36
60,42,28/05,09:18:35,378
61,2,29/05,09:03:00,1
62,42,29/05,09:41:02,2
63,4,05/06,08:30:06,346
64,24,12/06,09:43:51,327
65,24,12/06,09:55:30,1
66,24,12/06,10:01:31,3
67,21,15/06,07:21:51,1
68,42,15/06,09:32:59,1
69,47,18/06,07:25:37,1
70,47,18/06,07:44:10,278
71,8,18/06,08:09:49,11
72,29,18/06,08:07:50,350
73,47,18/06,08:39:22,31
74,47,18/06,08:52:52,209
75,33,20/06,14:53:26,66
76,24,20/06,14:54:51,1
77,7,25/06,08:14:04,432
78,47,26/06,18:34:58,1
79,24,27/06,18:11:15,6
80,24,27/06,18:17:24,3273
81,24,27/06,19:21:37,60
82,24,27/06,19:59:13,196
83,24,27/06,21:28:22,38
84,48,29/06,07:07:10,51
85,29,01/07,07:01:04,3
86,26,01/07,09:34:47,1
87,8,02/07,08:39:31,483
88,29,02/07,08:49:11,2
89,8,02/07,08:53:38,1
90,29,02/07,08:55:35,22
91,8,07/07,09:17:49,2310
92,29,07/07,12:12:03,1
93,8,07/07,11:32:55,2424
94,29,14/07,01:02:23,167
95,29,15/07,03:14:19,18
96,8,15/07,03:14:12,63
97,8,15/07,03:25:47,1
98,27,15/07,03:24:32,365
99,29,15/07,04:24:36,1106
100,27,15/07,04:14:37,1868
101,29,15/07,11:02:08,1
102,21,15/07,15:57:08,1
103,8,17/07,07:09:32,462
104,8,17/07,07:45:09,1
105,26,18/07,09:33:26,48
106,27,19/07,06:48:01,12
107,27,19/07,07:36:55,220
108,8,19/07,08:19:10,1
109,8,19/07,08:28:42,392
110,49,19/07,10:04:17,1
111,27,19/07,10:44:12,299
112,8,19/07,10:41:37,465
113,8,19/07,14:23:11,45
114,29,19/07,14:51:55,4
115,8,19/07,17:09:57,91
116,21,19/07,21:13:20,3
117,48,20/07,01:02:59,1
118,8,20/07,08:59:59,1
119,8,20/07,10:35:10,3
120,27,20/07,11:29:20,15
121,48,20/07,11:29:53,1
122,8,20/07,11:41:50,1
123,8,20/07,12:01:17,102
124,29,20/07,12:03:01,2
125,29,20/07,12:43:33,10
126,8,20/07,12:43:28,22
127,27,20/07,14:12:54,136
128,8,20/07,14:19:47,36
129,27,20/07,17:35:12,88
130,21,20/07,17:36:40,3
131,27,20/07,20:47:26,620
132,27,20/07,21:30:51,181
133,27,20/07,21:44:36,1943
134,29,21/07,07:06:05,223
135,8,21/07,08:52:21,773
136,8,21/07,09:09:47,492
137,8,21/07,09:34:32,322
138,8,21/07,09:45:28,232
139,8,21/07,10:01:02,2977
140,8,21/07,10:55:16,161
141,8,21/07,11:03:28,293
142,8,21/07,18:44:49,1150
143,8,21/07,19:15:39,186
144,27,22/07,07:23:37,173
145,27,22/07,07:32:18,169
146,27,22/07,09:04:02,39
147,21,22/07,20:08:58,1
148,8,23/07,06:54:12,321
149,8,23/07,07:06:15,557
150,49,23/07,17:05:52,72
151,14,24/07,08:10:51,666
152,49,27/07,16:15:40,241
153,49,28/07,11:05:10,208
154,49,28/07,17:00:54,303
155,48,30/07,09:18:04,62
156,48,30/07,09:25:07,569
157,4,13/08,17:41:07,60
158,33,16/10,16:46:05,138
