Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,36,05/06,17:57:57,68
4,6,05/06,19:30:32,20
5,6,05/06,20:46:16,1
6,6,05/06,21:14:04,208
7,6,05/06,21:24:13,43
8,6,05/06,21:37:58,259
9,6,05/06,21:55:10,444
10,6,05/06,22:06:52,554
11,6,05/06,22:27:18,28
12,6,05/06,22:32:07,5
13,6,05/06,22:41:33,1
14,6,05/06,22:48:07,1
15,6,05/06,23:15:04,730
16,6,05/06,23:37:30,610
17,6,06/06,00:09:35,548
18,6,06/06,00:59:35,785
19,6,06/06,01:17:23,128
20,6,06/06,01:35:01,32
21,6,06/06,01:40:25,1
22,6,06/06,01:49:03,5
23,6,06/06,01:53:28,26
24,6,06/06,02:07:13,70
25,6,06/06,02:34:14,1233
26,6,06/06,02:59:31,696
27,6,06/06,03:17:17,503
28,6,06/06,03:33:25,968
29,6,06/06,03:55:21,71
30,6,06/06,04:05:01,1054
31,6,06/06,04:53:59,130
32,6,06/06,05:07:28,1
33,6,06/06,05:18:00,173
34,36,06/06,06:22:23,1
35,6,06/06,09:26:36,24
36,19,06/06,10:55:50,2
37,19,06/06,12:22:59,105
38,19,06/06,19:59:59,32
39,19,07/06,02:42:52,1
40,19,07/06,02:52:13,1
41,19,07/06,03:01:01,249
42,19,07/06,03:17:40,1
43,19,07/06,03:26:22,97
44,19,07/06,04:05:44,229
45,19,07/06,04:20:15,62
46,19,07/06,04:27:19,19
47,19,07/06,04:36:24,1
48,19,07/06,04:42:59,127
49,19,07/06,04:50:06,257
50,19,07/06,05:01:54,280
51,19,07/06,05:18:04,6
52,19,07/06,05:24:57,382
53,19,07/06,10:02:50,42
54,6,07/06,16:28:54,321
55,6,07/06,16:57:46,1
56,36,09/06,18:03:21,3
57,6,09/06,19:41:45,182
58,6,09/06,19:54:49,188
59,6,09/06,20:05:30,112
60,6,09/06,20:14:36,179
61,6,09/06,20:31:19,102
62,6,09/06,20:48:36,3
63,6,09/06,21:07:17,35
64,6,09/06,21:32:58,1
65,6,09/06,21:41:20,1
66,6,09/06,21:57:43,248
67,6,09/06,22:50:46,15
68,6,10/06,00:16:48,149
69,6,10/06,01:02:04,4
70,6,10/06,01:45:52,358
71,6,10/06,02:35:19,539
72,6,10/06,02:48:42,1
73,6,10/06,03:04:29,433
74,19,10/06,03:11:45,1
75,36,10/06,03:18:49,33
76,19,10/06,03:30:46,8
77,6,10/06,03:25:45,3171
78,6,10/06,04:51:01,547
79,6,10/06,05:08:35,1
80,6,10/06,05:12:56,10
81,19,10/06,05:24:23,68
82,36,10/06,06:56:30,148
83,19,10/06,06:59:21,1
84,6,10/06,07:07:05,585
85,6,10/06,07:55:32,12
86,19,10/06,12:02:03,458
87,19,10/06,13:54:48,1
88,19,10/06,14:06:33,1
89,19,10/06,14:25:29,69
90,19,10/06,14:40:48,54
91,19,10/06,14:49:02,1
92,6,10/06,16:04:48,3
93,6,10/06,16:46:44,235
94,36,11/06,17:45:30,17
95,36,12/06,07:03:08,108
96,19,12/06,10:27:55,8
97,36,12/06,11:45:38,61
98,36,12/06,11:51:43,1
99,36,12/06,11:57:12,494
100,36,12/06,15:03:33,6
101,19,14/06,05:58:31,93
102,6,14/06,05:58:14,116
103,6,14/06,06:16:55,111
104,6,14/06,06:24:50,78
105,36,14/06,08:02:36,1
106,36,14/06,08:07:57,2672
107,36,14/06,08:58:25,1255
108,36,14/06,09:25:32,10
109,36,14/06,17:28:06,1
110,6,14/06,18:12:20,1
111,6,14/06,18:42:54,67
112,6,14/06,19:51:27,214
113,6,14/06,20:03:00,307
114,6,14/06,20:30:06,439
115,6,14/06,20:53:07,1002
116,6,14/06,21:16:35,465
117,6,14/06,21:31:21,940
118,6,14/06,21:57:19,319
119,6,14/06,22:12:59,413
120,6,14/06,22:37:37,154
121,6,14/06,22:49:12,1961
122,6,14/06,23:31:23,4337
123,6,15/06,00:51:38,976
124,6,15/06,01:15:19,1
125,6,15/06,01:20:23,438
126,6,15/06,01:42:15,133
127,6,15/06,01:53:30,1216
128,6,15/06,02:18:16,395
129,6,15/06,02:30:00,1
130,6,15/06,02:34:46,669
131,6,15/06,03:51:34,979
132,6,15/06,04:29:24,166
133,6,15/06,04:37:05,84
134,6,15/06,05:21:26,146
135,6,15/06,05:40:50,2
136,6,15/06,05:47:28,1
137,6,15/06,06:04:20,5
138,28,15/06,11:12:58,1
139,20,15/06,11:12:55,8
140,19,15/06,11:29:54,1
141,19,15/06,12:53:57,137
142,19,15/06,13:02:38,1
143,19,15/06,20:11:50,322
144,19,15/06,22:38:29,1
145,19,16/06,01:41:21,3
146,19,16/06,05:01:27,2
147,19,16/06,05:12:15,15
148,36,16/06,06:42:19,165
149,19,16/06,16:00:23,1
150,19,16/06,16:59:21,1
151,36,16/06,18:04:06,1
152,36,16/06,18:37:00,13
153,36,17/06,04:35:41,130
154,6,17/06,06:07:28,499
155,36,17/06,06:55:30,542
156,6,17/06,07:32:35,11
157,36,17/06,07:29:21,351
158,36,17/06,09:34:53,2674
159,36,17/06,10:25:05,1
160,36,17/06,10:47:21,236
161,36,17/06,10:57:15,113
162,36,17/06,11:31:48,15
163,36,17/06,11:39:35,41
164,36,17/06,11:46:59,10
165,36,17/06,12:01:45,1
166,36,17/06,12:06:35,609
167,36,17/06,12:24:20,1
168,36,17/06,12:31:45,191
169,36,17/06,12:40:20,100
170,36,17/06,13:23:37,92
171,6,17/06,20:32:09,720
172,6,17/06,20:54:12,50
173,6,17/06,21:16:40,1
174,6,17/06,22:23:06,697
175,6,17/06,23:58:32,232
176,6,18/06,00:06:58,127
177,6,18/06,00:34:50,279
178,6,18/06,01:29:13,50
179,6,18/06,01:36:49,1
180,6,18/06,02:23:00,1
181,6,18/06,02:42:31,1074
182,6,18/06,03:06:07,1573
183,6,18/06,04:09:48,168
184,6,18/06,04:28:15,81
185,6,18/06,04:45:21,9
186,6,18/06,04:52:07,144
187,6,18/06,05:26:42,70
188,6,18/06,05:40:32,428
189,6,18/06,19:07:14,73
190,36,18/06,19:39:51,2
191,36,18/06,19:54:15,1
192,36,18/06,21:52:04,1
193,36,18/06,22:04:12,1
194,36,18/06,22:09:49,1
195,36,19/06,00:16:37,131
196,36,19/06,02:57:12,1
197,36,19/06,03:03:05,1
198,36,19/06,03:41:45,1
199,36,19/06,04:08:23,553
200,36,19/06,04:23:10,1
201,36,19/06,04:34:57,19
202,36,19/06,04:46:08,1
203,36,19/06,05:08:53,64
204,6,20/06,07:05:43,137
205,19,20/06,09:11:00,1
206,19,20/06,09:22:43,1
207,36,20/06,13:49:30,83
208,36,20/06,13:56:51,57
209,36,21/06,10:46:47,826
210,36,21/06,11:36:59,836
211,36,21/06,12:00:09,355
212,36,21/06,12:11:13,186
213,36,21/06,12:22:29,47
214,36,21/06,14:00:26,1
215,36,21/06,14:19:42,75
216,36,21/06,15:42:18,36
217,6,21/06,17:41:32,289
218,36,21/06,18:01:09,1
219,6,22/06,18:42:10,452
220,6,22/06,18:56:30,1
221,36,22/06,19:01:28,1
222,6,22/06,19:01:16,97
223,36,22/06,19:05:50,18
224,19,22/06,19:12:05,12
225,19,22/06,19:17:40,275
226,19,22/06,19:30:25,1
227,6,22/06,19:18:36,726
228,36,22/06,19:33:57,505
229,36,22/06,19:48:11,204
230,6,22/06,21:19:24,152
231,36,22/06,19:57:16,5109
232,36,22/06,21:37:13,1632
233,36,22/06,22:26:11,1
234,36,22/06,22:35:32,233
235,36,22/06,22:50:28,18
236,36,22/06,23:04:51,1245
237,36,22/06,23:34:17,2335
238,6,23/06,00:12:45,67
239,36,23/06,00:25:40,277
240,36,23/06,00:53:15,274
241,36,23/06,03:22:22,1
242,36,23/06,05:52:48,110
243,6,23/06,05:52:51,470
244,36,23/06,05:59:04,267
