Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
4,3,05/06,19:30:06,45
5,36,05/06,19:30:09,122
6,3,05/06,20:34:26,62
7,3,05/06,20:43:48,8309
8,3,05/06,23:06:38,85
9,3,05/06,23:14:42,2059
10,3,06/06,00:01:58,983
11,3,06/06,00:59:35,3520
12,3,06/06,02:02:56,439
13,3,06/06,02:30:47,5395
14,3,06/06,04:05:01,3522
15,3,06/06,05:10:41,941
16,36,06/06,06:01:45,135
17,3,06/06,08:54:13,96
18,3,06/06,09:06:24,294
19,3,06/06,09:19:04,616
20,36,06/06,15:50:36,59
21,19,06/06,16:02:09,1
22,19,06/06,16:11:14,10
23,36,06/06,16:00:53,635
24,19,06/06,16:30:22,234
25,36,06/06,19:00:04,1
26,36,07/06,09:08:23,27
27,3,07/06,16:28:24,518
28,3,07/06,16:57:41,269
29,3,07/06,17:08:48,73
30,36,07/06,18:11:17,1089
31,19,07/06,18:23:47,344
32,36,07/06,18:39:01,1
33,36,07/06,18:55:52,1639
34,19,07/06,19:23:13,1056
35,19,07/06,19:48:44,1134
36,19,07/06,20:13:06,51
37,36,07/06,19:28:46,2732
38,36,07/06,20:20:02,1
39,19,07/06,20:21:08,766
40,19,07/06,20:38:35,1300
41,19,07/06,21:13:26,3
42,19,07/06,21:23:21,36
43,36,07/06,21:28:31,449
44,19,07/06,21:31:58,1355
45,36,07/06,21:52:42,241
46,36,07/06,22:10:25,187
47,19,07/06,21:58:59,920
48,36,07/06,22:20:32,54
49,36,08/06,05:19:26,23
50,19,08/06,15:51:40,259
51,36,09/06,07:41:08,37
52,36,09/06,17:15:24,12
53,36,09/06,18:18:04,1
54,36,09/06,18:56:33,631
55,3,09/06,19:41:08,227
56,3,09/06,19:54:25,251
57,3,09/06,20:04:52,216
58,3,09/06,20:12:49,2233
59,3,09/06,21:07:18,1028
60,3,09/06,21:29:25,366
61,3,09/06,21:41:28,12
62,3,09/06,21:49:37,1391
63,36,09/06,22:39:04,73
64,19,09/06,22:48:14,96
65,3,09/06,22:50:51,99
66,3,09/06,23:58:08,31
67,3,10/06,00:05:35,100
68,3,10/06,00:16:01,257
69,3,10/06,00:27:21,9
70,3,10/06,00:33:20,40
71,3,10/06,00:48:15,134
72,3,10/06,00:58:24,245
73,36,10/06,01:03:41,389
74,3,10/06,01:13:06,1
75,36,10/06,01:41:12,5
76,3,10/06,01:45:39,399
77,3,10/06,02:22:34,97
78,36,10/06,02:19:51,897
79,36,10/06,02:51:10,247
80,36,10/06,03:02:01,208
81,3,10/06,02:34:22,2572
82,19,10/06,03:20:34,56
83,19,10/06,03:27:18,412
84,3,10/06,03:22:26,4206
85,3,10/06,04:38:47,1
86,3,10/06,04:47:09,1031
87,3,10/06,05:08:40,359
88,36,10/06,05:51:29,57
89,36,10/06,06:23:43,50
90,36,10/06,06:33:09,637
91,3,10/06,06:51:29,44
92,19,10/06,06:57:01,48
93,3,10/06,07:00:06,35
94,3,10/06,07:06:51,603
95,3,10/06,07:55:35,12
96,19,10/06,07:56:33,94
97,3,10/06,16:04:42,28
98,3,10/06,16:46:34,286
99,36,10/06,17:50:00,1
100,36,10/06,18:24:51,103
101,36,10/06,18:36:15,9
102,36,10/06,22:22:50,18
103,36,11/06,06:12:50,84
104,19,11/06,07:41:31,172
105,19,11/06,08:51:20,64
106,19,11/06,15:29:15,17
107,36,12/06,07:45:13,10
108,19,12/06,11:03:52,362
109,19,12/06,15:21:20,407
110,36,13/06,09:20:53,23
111,3,14/06,05:51:56,67
112,3,14/06,05:58:41,302
113,19,14/06,05:58:39,1025
114,3,14/06,06:16:31,144
115,3,14/06,06:24:45,95
116,36,14/06,11:18:28,58
117,36,14/06,11:24:49,2094
118,36,14/06,13:26:16,10
119,36,14/06,13:32:15,17
120,36,14/06,14:09:03,1281
121,36,14/06,14:35:22,1
122,36,14/06,14:40:49,69
123,36,14/06,14:46:35,1
124,36,14/06,14:51:15,111
125,36,14/06,15:14:45,148
126,36,14/06,15:41:07,1363
127,3,14/06,18:11:58,4
128,3,14/06,18:41:22,326
129,3,14/06,19:51:30,352
130,3,14/06,20:03:01,324
131,3,14/06,20:24:22,8251
132,3,14/06,22:47:42,2097
133,3,14/06,23:31:29,6988
134,3,15/06,01:36:33,626
135,3,15/06,01:52:14,3253
136,3,15/06,02:54:42,118
137,3,15/06,03:05:11,292
138,3,15/06,03:17:40,18
139,3,15/06,03:27:18,30
140,3,15/06,03:32:38,283
141,3,15/06,03:43:32,1
142,3,15/06,03:48:17,1541
143,3,15/06,04:18:44,2090
144,3,15/06,04:57:59,1
145,3,15/06,05:07:06,1
146,3,15/06,05:21:33,321
147,3,15/06,05:31:22,117
148,3,15/06,05:40:58,67
149,3,15/06,06:04:26,15
150,12,15/06,09:06:05,69
151,12,15/06,09:30:07,3
152,12,15/06,09:34:29,1
153,12,15/06,12:58:40,178
154,12,15/06,13:06:01,1
155,12,15/06,13:13:05,170
156,12,15/06,15:41:45,8
157,36,15/06,18:19:52,40
158,40,15/06,18:39:36,2
