Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,23,18/04,13:19:55,502
7,37,10/05,10:55:42,102
8,37,10/05,11:44:41,1
9,39,10/05,18:00:13,1
10,34,10/05,19:17:49,1061
11,34,10/05,19:43:21,221
12,34,10/05,19:56:29,160
13,34,10/05,20:05:16,250
14,34,10/05,20:22:39,668
15,34,10/05,20:40:28,532
16,34,10/05,21:02:19,381
17,34,10/05,21:13:30,346
18,34,10/05,21:47:06,385
19,34,10/05,22:14:34,1497
20,34,10/05,22:51:43,216
21,34,10/05,23:03:41,32
22,34,10/05,23:09:44,222
23,34,10/05,23:22:56,20
24,34,10/05,23:30:10,2
25,34,10/05,23:38:36,3132
26,34,11/05,00:36:56,3675
27,34,11/05,01:44:57,404
28,34,11/05,02:00:10,624
29,34,11/05,03:19:57,50
30,34,11/05,03:36:56,1935
31,34,11/05,04:14:37,1644
32,34,11/05,04:55:17,119
33,34,11/05,05:07:42,265
34,34,11/05,05:20:15,953
35,34,11/05,05:44:18,83
36,34,11/05,06:13:21,99
37,34,13/05,11:18:33,2
38,34,13/05,14:24:31,106
39,34,13/05,14:32:53,1081
40,34,13/05,15:01:19,1
41,34,13/05,15:25:21,76
42,34,13/05,16:01:48,119
43,34,13/05,16:10:42,290
44,2,14/05,16:21:41,2
45,34,14/05,22:01:21,187
46,34,14/05,22:13:03,163
47,34,14/05,22:21:27,14454
48,34,15/05,03:09:18,1
49,34,15/05,03:14:36,927
50,34,15/05,03:34:42,2014
51,34,15/05,04:18:35,2555
52,34,15/05,05:09:24,60
53,34,15/05,06:17:57,33
54,34,15/05,07:21:22,15
55,34,15/05,07:30:56,585
56,34,15/05,17:40:48,860
57,2,15/05,18:22:28,1
58,2,15/05,18:30:12,1
59,34,15/05,20:10:23,57
60,34,15/05,22:49:30,774
61,34,15/05,23:13:04,629
62,34,15/05,23:39:41,1241
63,34,16/05,00:06:06,1730
64,34,16/05,00:40:14,3472
65,34,16/05,02:01:39,1
66,34,16/05,02:47:21,1
67,34,16/05,03:27:10,314
68,34,16/05,05:32:20,575
69,2,16/05,05:50:11,33
