Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,38,18/04,11:35:56,2
4,29,18/04,17:52:40,1
5,29,18/04,18:41:32,2
6,29,18/04,19:04:11,1264
7,29,18/04,19:29:55,1
8,29,18/04,19:40:37,189
9,29,18/04,19:49:19,6
10,29,18/04,20:01:27,11232
11,29,19/04,02:16:02,395
12,29,19/04,02:27:41,3
13,29,19/04,03:42:18,260
14,29,19/04,03:51:26,80
15,29,19/04,04:27:54,2
16,29,19/04,14:05:55,688
17,29,19/04,17:39:23,29
18,29,19/04,20:51:49,272
19,29,19/04,21:01:25,1
20,29,19/04,22:58:41,530
21,29,20/04,01:12:22,1
22,29,20/04,03:30:58,1
23,29,20/04,03:52:47,9
24,29,20/04,04:00:36,3
25,29,20/04,04:15:41,1
26,29,20/04,04:21:26,1116
27,29,20/04,05:12:32,1
28,29,20/04,05:17:09,249
29,29,20/04,05:48:29,20
30,29,20/04,06:10:35,8
31,42,20/04,15:38:47,30
32,29,20/04,19:48:06,15
33,27,20/04,23:54:23,229
34,27,21/04,00:22:56,1
35,27,21/04,00:32:15,2171
36,27,21/04,01:22:26,1
37,27,21/04,01:33:34,315
38,27,21/04,01:43:27,1
39,27,21/04,01:48:39,95
40,27,21/04,01:58:22,227
41,29,21/04,02:13:59,95
42,27,21/04,02:21:09,128
43,27,21/04,02:28:07,1
44,27,21/04,02:32:48,7199
45,27,21/04,04:39:50,214
46,27,21/04,04:55:37,1030
47,29,21/04,05:23:53,127
48,29,21/04,05:31:17,99
49,27,21/04,05:19:32,1078
50,27,21/04,05:42:12,1411
51,29,21/04,06:10:35,18
52,27,21/04,07:31:14,1
53,27,21/04,07:36:34,429
54,27,21/04,07:49:32,600
55,27,21/04,08:04:27,22
56,27,21/04,10:19:26,273
57,27,21/04,13:29:51,405
58,27,21/04,13:45:22,1
59,27,21/04,14:15:57,105
60,27,21/04,14:30:03,128
61,29,21/04,15:27:18,86
62,27,21/04,17:31:06,55
63,27,21/04,17:49:27,91
64,29,21/04,17:58:05,1
65,27,21/04,19:08:08,212
66,27,21/04,19:32:50,425
67,27,21/04,19:59:52,4
68,27,21/04,20:28:39,179
69,27,21/04,20:37:49,1
70,29,21/04,21:17:46,2285
71,27,21/04,22:05:24,1162
72,27,21/04,22:29:30,360
73,27,21/04,22:46:17,666
74,27,21/04,23:14:04,391
75,29,21/04,23:20:53,2
76,29,22/04,01:19:42,10
77,29,22/04,02:02:12,93
78,27,22/04,01:58:45,347
79,27,22/04,03:42:10,134
80,27,22/04,03:51:44,1
81,29,22/04,04:33:16,1
82,29,22/04,04:40:41,398
83,29,22/04,04:51:55,493
84,27,22/04,05:00:43,5
85,27,22/04,05:11:44,476
86,27,22/04,05:24:16,1
87,29,22/04,05:27:49,3
88,29,22/04,05:57:48,226
89,29,22/04,06:11:28,26
90,27,22/04,06:11:54,368
91,29,22/04,06:18:17,1
92,27,22/04,06:30:40,420
93,27,22/04,06:42:02,148
94,27,22/04,10:18:03,187
95,27,22/04,10:38:40,93
96,27,22/04,12:38:20,1279
