Record ID,Encounter ID,Date day/month/(year),Encounter Start Time,Encounter Length
3,13,05/06,09:33:47,433
5,13,05/06,16:47:13,34
6,13,05/06,17:31:06,1024
7,13,05/06,19:04:13,975
8,13,05/06,19:25:02,104
9,13,05/06,19:39:05,1
10,13,05/06,19:46:48,134
11,13,05/06,19:59:04,1274
12,13,05/06,20:31:53,1
13,13,05/06,20:40:08,4478
14,13,05/06,22:00:04,378
15,13,05/06,22:10:55,46
16,13,05/06,22:29:57,455
17,13,05/06,22:48:16,3785
18,13,05/06,23:57:55,9237
19,13,06/06,02:36:31,41
20,13,06/06,02:46:37,1385
21,13,06/06,03:14:10,1419
22,13,06/06,03:42:19,514
23,13,06/06,04:04:52,84
24,13,06/06,04:15:45,416
25,13,06/06,04:55:01,977
26,13,06/06,05:17:32,402
27,13,06/06,05:29:42,252
28,13,06/06,05:42:06,325
29,13,06/06,16:35:52,328
30,13,06/06,17:42:58,127
31,13,06/06,17:52:36,746
32,13,06/06,18:11:15,289
33,13,06/06,18:31:10,103
34,13,06/06,18:44:28,24
35,32,06/06,19:57:54,310
36,32,06/06,20:08:00,77
37,13,06/06,20:42:02,109
38,32,06/06,21:34:13,7
39,13,06/06,22:41:43,173
40,13,06/06,22:54:47,1
41,13,06/06,23:03:25,11
42,13,06/06,23:25:56,183
43,13,06/06,23:43:53,4
44,13,06/06,23:48:17,347
45,32,07/06,03:13:41,130
46,32,07/06,03:26:58,78
47,13,07/06,03:31:24,63
48,13,07/06,03:56:17,50
49,32,07/06,03:50:43,1071
50,32,07/06,04:14:18,1
51,32,07/06,04:23:17,1515
52,13,07/06,05:08:15,1
53,32,07/06,04:54:59,1270
54,13,07/06,05:15:22,1118
55,32,07/06,05:25:38,735
56,32,07/06,06:33:29,1
57,13,07/06,15:48:18,130
58,32,07/06,16:54:07,167
59,13,07/06,18:46:53,1
60,13,07/06,18:51:42,98
61,13,07/06,18:58:56,1
62,13,07/06,19:06:28,942
63,13,07/06,19:34:44,189
64,13,07/06,19:43:12,1306
65,13,07/06,20:11:31,265
66,13,07/06,20:30:28,1
67,13,07/06,20:40:52,245
68,13,07/06,20:50:50,486
69,13,07/06,21:16:47,168
70,13,07/06,21:24:27,168
71,13,07/06,21:34:38,296
72,13,07/06,21:46:42,268
73,13,07/06,22:02:41,7
74,13,07/06,22:31:12,2177
75,13,07/06,23:12:42,8728
76,13,08/06,01:42:42,166
77,13,08/06,02:03:02,1780
78,13,08/06,02:38:42,2875
79,13,08/06,03:32:05,1119
80,13,08/06,03:55:03,1337
81,13,08/06,04:26:45,398
82,13,08/06,04:39:07,420
83,13,08/06,04:51:05,1
84,13,08/06,04:58:48,1
85,13,08/06,05:03:47,2181
86,13,08/06,06:19:43,144
87,13,08/06,07:28:49,1
88,13,08/06,12:27:41,2804
89,32,08/06,18:53:06,406
90,13,08/06,23:16:54,69
91,32,08/06,23:13:28,1858
92,13,08/06,23:26:59,1238
93,13,09/06,00:28:46,1
94,13,09/06,03:11:35,79
95,13,09/06,03:23:44,19
96,13,09/06,04:08:41,139
97,13,09/06,04:17:26,1
98,13,09/06,04:39:19,372
99,32,09/06,04:54:05,107
100,32,09/06,05:02:46,462
101,32,09/06,05:17:13,10
102,13,09/06,07:39:00,9
103,13,09/06,07:45:49,194
104,13,09/06,09:53:27,69
105,13,09/06,14:15:38,79
106,13,09/06,15:15:04,3
107,13,09/06,15:20:30,2774
108,13,09/06,16:11:39,575
109,13,09/06,18:38:50,44
110,32,09/06,18:59:40,2064
111,32,09/06,19:39:11,1397
112,13,09/06,18:47:08,6170
113,13,09/06,20:54:21,3580
114,13,09/06,22:03:48,1213
115,13,09/06,22:38:28,1
116,13,09/06,22:51:25,285
117,32,09/06,20:21:37,10109
118,13,09/06,23:50:01,90
119,13,09/06,23:59:05,29
120,13,10/06,00:03:55,1
121,13,10/06,00:59:09,337
122,13,10/06,01:14:45,149
123,13,10/06,01:29:59,17
124,13,10/06,01:41:12,1
125,32,09/06,23:17:24,13840
126,32,10/06,03:12:22,1314
127,32,10/06,03:39:18,2250
128,13,10/06,04:44:44,230
129,13,10/06,04:54:52,235
130,13,10/06,05:03:21,419
131,13,10/06,05:15:56,357
132,13,10/06,05:44:04,24
133,13,10/06,05:59:04,111
134,13,10/06,06:10:40,34
135,32,10/06,06:26:29,38
136,32,10/06,06:40:37,371
137,32,10/06,07:10:30,1
138,32,10/06,07:36:58,1
139,32,10/06,07:42:23,177
140,32,10/06,08:03:48,86
141,13,10/06,09:19:54,98
142,13,10/06,09:34:44,1
143,13,10/06,09:47:21,921
144,13,10/06,10:08:34,221
145,13,10/06,10:26:10,2
146,13,10/06,10:40:26,75
147,13,10/06,13:49:53,50
148,13,10/06,13:55:03,787
149,13,10/06,14:23:11,183
150,13,10/06,14:41:24,1
151,13,10/06,14:53:38,4
152,13,10/06,15:02:45,467
153,13,10/06,15:16:44,3098
154,13,10/06,16:24:27,1
155,32,10/06,16:28:22,53
156,32,10/06,17:06:59,23
157,32,10/06,19:51:07,9
158,32,10/06,20:43:33,165
159,13,11/06,06:43:22,257
160,32,11/06,06:45:30,927
161,13,11/06,09:50:36,1
162,13,11/06,09:58:38,1
163,13,11/06,12:20:58,65
164,32,11/06,13:07:30,113
165,32,11/06,13:28:56,338
166,13,11/06,14:11:30,69
167,13,11/06,16:45:43,23
168,32,11/06,18:32:22,1
169,13,11/06,19:00:39,21
170,32,12/06,06:05:33,6
171,32,12/06,06:10:22,144
172,32,12/06,06:35:27,1
173,32,12/06,07:20:25,12
174,32,12/06,08:30:58,1
175,13,12/06,09:32:53,23
176,13,12/06,12:27:03,212
177,13,12/06,15:18:22,1
178,13,12/06,15:33:49,1
179,13,12/06,17:13:08,695
180,32,12/06,17:07:24,1420
181,32,13/06,05:34:56,1
182,13,13/06,05:56:13,456
183,32,13/06,07:53:55,914
184,28,13/06,09:29:21,1
185,12,13/06,09:29:56,1
186,12,13/06,11:06:29,1
187,13,13/06,19:44:56,1149
188,13,13/06,21:46:16,1977
189,13,13/06,22:25:18,4640
190,13,13/06,23:53:04,1397
191,13,14/06,00:26:09,199
192,32,14/06,05:56:46,587
193,13,14/06,11:13:28,6
194,32,14/06,13:41:39,194
195,32,14/06,14:24:03,5784
196,32,14/06,16:05:19,490
197,32,14/06,16:32:05,1
198,32,14/06,16:37:35,835
199,32,14/06,16:59:46,89
200,32,14/06,17:07:57,1151
201,32,14/06,17:39:23,25
202,32,14/06,17:49:29,384
203,13,14/06,17:46:55,967
204,32,14/06,18:00:38,200
205,32,14/06,18:15:31,56
206,13,14/06,18:09:55,954
207,32,14/06,18:24:20,310
208,32,14/06,18:57:22,19
209,13,14/06,18:57:40,849
210,32,14/06,19:13:42,24
211,32,14/06,22:59:41,720
212,32,14/06,23:17:48,108
213,32,14/06,23:25:19,391
214,32,14/06,23:38:03,249
215,32,15/06,00:05:38,208
216,129,15/06,00:43:25,1
217,13,15/06,00:29:21,2092
218,32,15/06,00:15:00,4093
219,52,15/06,01:43:35,1
220,32,15/06,01:36:53,1479
221,13,15/06,01:29:56,3163
222,13,15/06,02:27:38,2240
223,32,15/06,02:50:59,881
224,32,15/06,03:10:02,17
225,13,15/06,03:12:17,817
226,13,15/06,03:33:49,1797
227,13,15/06,04:11:19,1
228,13,15/06,04:23:49,34
229,13,15/06,04:32:34,1
230,13,15/06,04:41:02,1
231,13,15/06,04:52:40,2
232,13,15/06,04:58:13,14
233,13,15/06,05:25:51,1
234,13,15/06,05:44:08,1
235,13,15/06,06:31:22,471
236,32,15/06,06:34:43,466
237,32,15/06,08:42:41,196
238,32,15/06,09:29:55,533
239,13,15/06,15:44:58,819
240,13,15/06,22:19:42,614
241,13,15/06,22:34:57,1
242,32,15/06,22:22:00,825
243,32,15/06,23:48:12,18
244,13,15/06,23:56:31,659
245,13,16/06,00:48:23,1
246,32,16/06,02:09:23,5231
247,32,16/06,04:27:10,1413
248,32,16/06,04:56:39,70
249,32,16/06,05:05:07,660
250,13,16/06,05:12:17,532
251,13,16/06,05:28:51,488
252,13,16/06,06:32:06,159
253,13,16/06,06:42:44,163
254,13,16/06,08:18:33,53
255,13,16/06,08:24:34,1
256,13,16/06,09:21:37,33
257,32,16/06,09:21:22,53
258,13,16/06,16:02:31,797
259,13,16/06,16:34:09,1164
260,32,16/06,17:54:29,99
261,13,16/06,18:01:59,13
262,13,16/06,18:20:15,2545
263,13,16/06,21:37:09,5
264,13,16/06,21:54:22,253
265,13,17/06,05:28:13,799
266,28,17/06,08:56:06,1
267,41,17/06,09:29:22,76
268,41,17/06,10:05:12,193
269,13,17/06,12:34:39,835
270,13,17/06,16:55:46,114
271,13,17/06,17:24:16,2
272,13,17/06,17:32:58,186
273,13,17/06,17:41:19,1
274,13,17/06,17:48:55,48
275,13,17/06,23:12:40,129
276,13,18/06,03:17:29,5
277,13,18/06,03:49:38,1
278,13,18/06,04:43:45,1
279,13,18/06,04:51:38,1
280,13,18/06,05:18:06,467
281,13,18/06,05:36:24,43
282,32,18/06,05:40:56,1
283,32,18/06,05:49:58,64
284,32,18/06,06:21:21,2
285,32,18/06,06:29:09,13
286,13,18/06,08:16:03,257
287,13,18/06,08:30:38,1
288,13,18/06,08:35:44,23
289,13,18/06,09:39:50,420
290,13,18/06,09:55:42,267
291,13,18/06,10:13:07,30
292,13,18/06,10:18:02,786
293,13,18/06,10:49:15,186
294,13,18/06,10:57:38,353
295,13,18/06,11:24:26,431
296,32,18/06,11:48:09,82
297,13,18/06,12:55:12,702
298,13,18/06,13:21:10,1
299,13,18/06,13:28:44,491
300,13,18/06,13:45:56,1499
301,13,18/06,14:31:00,48
302,13,18/06,14:37:28,1
303,13,18/06,14:42:19,222
304,13,18/06,15:00:02,109
305,13,18/06,17:21:06,211
306,13,18/06,17:58:21,1
307,13,18/06,18:18:04,17
308,32,18/06,18:21:23,230
309,13,18/06,18:32:25,41
310,32,18/06,18:35:09,1
311,32,18/06,18:42:21,1
312,13,18/06,18:45:16,170
313,32,18/06,19:04:13,232
314,13,18/06,19:29:49,78
315,13,18/06,19:39:27,201
316,13,18/06,20:03:35,390
317,13,19/06,05:29:21,57
318,41,19/06,05:29:43,251
319,32,19/06,05:59:49,125
320,13,19/06,06:07:16,18
321,32,19/06,06:09:30,1
322,13,19/06,09:17:20,83
323,13,19/06,17:43:02,30
324,41,19/06,18:04:51,249
325,13,19/06,20:04:00,471
326,13,19/06,20:21:14,2403
327,13,19/06,21:06:26,165
328,13,19/06,21:18:58,118
329,13,19/06,22:12:09,258
330,13,19/06,22:21:23,815
331,13,19/06,22:53:00,1
332,13,19/06,23:10:14,755
333,13,20/06,00:21:40,3258
334,13,20/06,01:21:00,208
335,13,20/06,01:36:16,369
336,13,20/06,01:57:13,2
337,13,20/06,02:18:18,1019
338,13,20/06,03:52:06,5
339,13,20/06,03:57:38,1750
340,13,20/06,04:31:14,1202
341,13,20/06,06:41:28,147
342,13,20/06,06:48:24,134
343,13,20/06,07:09:50,135
344,32,20/06,07:22:51,937
345,32,20/06,07:44:48,181
346,32,20/06,07:55:48,135
347,32,20/06,08:13:46,243
348,32,20/06,08:37:54,1
349,32,20/06,08:44:51,22
350,32,20/06,09:05:33,174
351,32,20/06,09:19:53,1
352,41,20/06,09:38:56,124
353,32,20/06,10:50:08,95
354,41,20/06,11:05:16,37
355,32,20/06,23:39:15,1
356,32,20/06,23:58:07,239
357,13,21/06,00:01:32,196
358,13,21/06,00:17:22,1
359,32,21/06,00:20:38,1
360,32,21/06,00:29:12,20
361,13,21/06,00:47:00,20
362,13,21/06,01:34:21,1728
363,13,21/06,02:17:04,12
364,13,21/06,02:24:32,1013
365,13,21/06,03:40:55,4002
366,13,21/06,04:54:30,746
367,13,21/06,05:11:46,190
368,32,21/06,05:24:53,60
369,32,21/06,05:32:37,242
370,13,21/06,05:25:42,710
371,13,21/06,07:22:09,234
372,13,21/06,07:34:59,7
373,13,21/06,07:41:47,207
374,13,21/06,08:23:27,192
375,13,21/06,08:40:50,766
376,13,21/06,10:54:39,97
377,13,21/06,11:15:27,515
378,32,21/06,11:31:19,406
