,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
2->3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->7,0.600891245,0.602032563,0.603170455,0.604304636,0.605434801,0.606560623,0.607681749,0.608797801,0.609908372,0.611008762,0.612102572,0.613189277,0.614268307,0.615339045,0.616400817,0.617452894,0.618499458,0.619534901,0.620563518,0.621584681,0.622597704,0.623607482,0.624613645,0.625621758,0.626631883,0.627644092,0.628658463,0.62966835,0.6306871,0.631708295,0.632732059,0.633750831,0.63477989,0.63580369,0.636838695,0.637868181,0.63889127,0.63990693,0.640913942,0.641910856,0.642895929,0.643878955,0.644859384,0.64583654,0.646795391,0.647731973,0.648624947,0.64946385,0.650253731,0.650960101,0.651557447,0.651983597,0.652202464,0.652190228,0.651869428,0.651237979,0.650348685,0.649247895,0.647959184,0.646596859,0.646596859,0.645236784,0.643878955,0.642579803,0.641215084,0.639856382,0.638469975,0.637039193,0.63560469,0.634190699,0.63279222,0.631405918,0.630029482,0.628661261,0.627300043,0.625958742,0.624634158,0.6233238,0.622025702,0.62074928,0.61948119,0.618220537,0.616966581,0.615718704,0.614476386,0.613239188,0.612014787,0.61079421,0.609584715,0.608378119,0.607174308,0.605973183,0.604774655,0.603578645,0.602385084,0.60119391,0.600005066,0.598818501,0.597634171,0.596452032,0.595272048,0.594094183,0.592918406,0.591744688,0.590573002,0.589403323,0.588235627,0.587069893,0.585906102,0.584744234,0.583584273,0.582426201,0.581270003,0.580115665,0.578963172,0.577812513,0.576663673,0.575516643,0.574371409,0.573227963
2->8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->11,0.030042918,0.030567686,0.031111111,0.031674208,0.032258065,0.03286385,0.033492823,0.034146341,0.034825871,0.035532995,0.03626943,0.037037037,0.037837838,0.038674033,0.039548023,0.038961039,0.036818851,0.034586466,0.032258065,0.029827316,0.027287319,0.024630542,0.021848739,0.018932874,0.015873016,0.012658228,0.009276438,0.005714286,0.001956947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2->14,0.460907768,0.462309639,0.463700969,0.465094974,0.466484534,0.467869228,0.469248602,0.47062217,0.471997141,0.473373447,0.474751014,0.476129761,0.4775096,0.478890434,0.480272158,0.481654656,0.483037804,0.48442146,0.485805473,0.487189674,0.488573876,0.489957874,0.491341439,0.492724318,0.494106227,0.495486849,0.496878065,0.498280657,0.499695509,0.501110122,0.502524196,0.503937387,0.505349301,0.506759487,0.508167419,0.509572489,0.510973985,0.512371071,0.513762757,0.515147862,0.516503624,0.517892364,0.519271747,0.520639612,0.521993255,0.523329249,0.524643189,0.525929315,0.527179948,0.528384617,0.529528677,0.530542665,0.53137659,0.532138794,0.53272003,0.533185337,0.533338077,0.533156247,0.532792716,0.532138794,0.532138794,0.531267766,0.53068763,0.529745847,0.528834147,0.527937979,0.527112947,0.526332566,0.525582127,0.524809646,0.524021398,0.523221565,0.52244614,0.521690004,0.520949405,0.520221528,0.519504223,0.518795815,0.518094984,0.517400673,0.516712028,0.516028347,0.515349053,0.51469141,0.514052839,0.513431159,0.512824513,0.512216151,0.511606305,0.510995176,0.510382939,0.509769748,0.509155737,0.508541025,0.507925717,0.507309907,0.506693678,0.506077104,0.505449464,0.504822163,0.504195214,0.503568628,0.502942417,0.502326112,0.501700459,0.501075217,0.500450392,0.49982599,0.499202017,0.498578479,0.497955378,0.49733272,0.496710509,0.496088748,0.495467439,0.494846587,0.494226193,0.49360626,0.492986791,0.492367787
